output,r2,rmse,mae,nrmse
cap_CoalOldScr_coal-CCS_mod_p63,0.3485620246864878,907.1608551192369,715.6910308491714,0.2228896449924415
cap_CoalOldScr_coal-CCS_mod_p64,0.17976317502460815,177.8255767023871,152.18687072922094,0.40879442920088993
cap_CoalOldScr_coal-CCS_mod_p65,0.38392226548832187,121.57438481162862,101.04588289102774,0.31093193046452333
cap_CoalOldScr_coal-CCS_mod_p67,0.38388380997229177,627.9557058084724,511.30215146541946,0.2600301479135446
cap_CoalOldScr_p63,-0.010615035163997089,110.97113491421906,34.71519164059423,0.06874263423995133
cap_CoalOldScr_p64,0.19655224457290166,97.34322781290591,64.0158867298801,0.22377753520208254
cap_CoalOldScr_p65,0.015504625842414632,41.80297867385107,14.870792492720176,0.10691298893568049
cap_CoalOldScr_p67,0.32266388879845087,347.55727961270327,268.9075575013289,0.14859394693043956
cap_Gas-CC_Gas-CC-CCS_mod_p67,0.06231987453732668,917.8979967500961,349.81792331639576,0.09820124375869688
cap_Gas-CC_H2-CC_p60,0.20038281251478085,39.16743013626499,23.611524581771235,0.16886080829408084
cap_Gas-CC_H2-CC_p62,0.07064776115277427,119.65177371271767,49.37832119804366,0.08820486115394865
cap_Gas-CC_H2-CC_p63,-0.024004762915381228,0.9839856246307541,0.15444310387842586,0.04585488286286441
cap_Gas-CC_H2-CC_p64,0.012173249719743318,71.39336316295605,21.576658040555763,0.07103817230144881
cap_Gas-CC_H2-CC_p65,0.056832315131465805,100.86053145777326,39.093231113688375,0.09876430955479915
cap_H2-CC_p60,0.03059759455349731,12.367558835621637,4.764911236749688,0.09278002126741008
cap_H2-CC_p61,0.25913984296696346,702.5337407449571,459.7027946867976,0.11373422214849939
cap_H2-CC_p62,0.0074493827558099746,1.8243286118231223,0.47128894459439324,0.08674390611735469
cap_H2-CC_p65,-0.015296794284520576,29.75442693686269,6.5225548210953,0.07404709234142338
cap_H2-CT_p60,0.11546680059629366,292.97036385072266,134.65060238504975,0.08845511091035775
cap_H2-CT_p61,0.18969785316082033,736.1654895661967,406.4445187661536,0.09176493853942126
cap_H2-CT_p62,0.05179818496169064,233.29671137907403,84.92948742230239,0.08593538478722727
cap_H2-CT_p63,0.02807823254705999,154.3246549884296,43.50529425606184,0.08438086420345897
cap_H2-CT_p64,0.020795739970111637,326.1515989582714,102.03484626720817,0.06849198132464256
cap_H2-CT_p65,0.08694539434217241,397.22036608335,169.8809561137343,0.09629007704199488
cap_H2-CT_p67,-0.020416455868080607,34.13727945580702,4.972209710834086,0.04577447024932998
cap_battery_li_p60,0.3348713535219564,765.2107956017487,568.3046395684058,0.13919853043995145
