i,CA,IL,MD,MI,MN,MO,NY,VA,VT,WA
can-imports,,,,,,,,,,1
distpv,1,,,,,,,,,
egs1_1,,1,,,1,1,1,,,
egs1_2,,1,,,1,1,1,,,
egs1_3,,1,,,1,1,1,,,
egs1_4,,1,,,1,1,1,,,
egs1_5,,1,,,1,1,1,,,
egs1_6,,1,,,1,1,1,,,
egs1_7,,1,,,1,1,1,,,
egs1_8,,1,,,1,1,1,,,
egs1_9,,1,,,1,1,1,,,
egs1_10,,1,,,1,1,1,,,
egs2_1,,1,,,1,1,1,,,
egs2_2,,1,,,1,1,1,,,
egs2_3,,1,,,1,1,1,,,
egs2_4,,1,,,1,1,1,,,
egs2_5,,1,,,1,1,1,,,
egs2_6,,1,,,1,1,1,,,
egs2_7,,1,,,1,1,1,,,
egs2_8,,1,,,1,1,1,,,
egs2_9,,1,,,1,1,1,,,
egs2_10,,1,,,1,1,1,,,
egs3_1,,1,,,1,1,1,,,
egs3_2,,1,,,1,1,1,,,
egs3_3,,1,,,1,1,1,,,
egs3_4,,1,,,1,1,1,,,
egs3_5,,1,,,1,1,1,,,
egs3_6,,1,,,1,1,1,,,
egs3_7,,1,,,1,1,1,,,
egs3_8,,1,,,1,1,1,,,
egs3_9,,1,,,1,1,1,,,
egs3_10,,1,,,1,1,1,,,
egs4_1,,1,,,1,1,1,,,
egs4_2,,1,,,1,1,1,,,
egs4_3,,1,,,1,1,1,,,
egs4_4,,1,,,1,1,1,,,
egs4_5,,1,,,1,1,1,,,
egs4_6,,1,,,1,1,1,,,
egs4_7,,1,,,1,1,1,,,
egs4_8,,1,,,1,1,1,,,
egs4_9,,1,,,1,1,1,,,
egs4_10,,1,,,1,1,1,,,
egs5_1,,1,,,1,1,1,,,
egs5_2,,1,,,1,1,1,,,
egs5_3,,1,,,1,1,1,,,
egs5_4,,1,,,1,1,1,,,
egs5_5,,1,,,1,1,1,,,
egs5_6,,1,,,1,1,1,,,
egs5_7,,1,,,1,1,1,,,
egs5_8,,1,,,1,1,1,,,
egs5_9,,1,,,1,1,1,,,
egs5_10,,1,,,1,1,1,,,
egs_nearfield_1,,1,,,1,1,1,,,
egs_nearfield_2,,1,,,1,1,1,,,
egs_nearfield_3,,1,,,1,1,1,,,
egs_nearfield_4,,1,,,1,1,1,,,
egs_nearfield_5,,1,,,1,1,1,,,
egs_nearfield_6,,1,,,1,1,1,,,
egs_nearfield_7,,1,,,1,1,1,,,
egs_nearfield_8,,1,,,1,1,1,,,
egs_nearfield_9,,1,,,1,1,1,,,
egs_nearfield_10,,1,,,1,1,1,,,
geohydro1_1,,1,,,1,1,1,,,
geohydro1_2,,1,,,1,1,1,,,
geohydro1_3,,1,,,1,1,1,,,
geohydro1_4,,1,,,1,1,1,,,
geohydro1_5,,1,,,1,1,1,,,
geohydro1_6,,1,,,1,1,1,,,
geohydro1_7,,1,,,1,1,1,,,
geohydro1_8,,1,,,1,1,1,,,
geohydro1_9,,1,,,1,1,1,,,
geohydro1_10,,1,,,1,1,1,,,
geohydro2_1,,1,,,1,1,1,,,
geohydro2_2,,1,,,1,1,1,,,
geohydro2_3,,1,,,1,1,1,,,
geohydro2_4,,1,,,1,1,1,,,
geohydro2_5,,1,,,1,1,1,,,
geohydro2_6,,1,,,1,1,1,,,
geohydro2_7,,1,,,1,1,1,,,
geohydro2_8,,1,,,1,1,1,,,
geohydro2_9,,1,,,1,1,1,,,
geohydro2_10,,1,,,1,1,1,,,
geohydro3_1,,1,,,1,1,1,,,
geohydro3_2,,1,,,1,1,1,,,
geohydro3_3,,1,,,1,1,1,,,
geohydro3_4,,1,,,1,1,1,,,
geohydro3_5,,1,,,1,1,1,,,
geohydro3_6,,1,,,1,1,1,,,
geohydro3_7,,1,,,1,1,1,,,
geohydro3_8,,1,,,1,1,1,,,
geohydro3_9,,1,,,1,1,1,,,
geohydro3_10,,1,,,1,1,1,,,
geohydro4_1,,1,,,1,1,1,,,
geohydro4_2,,1,,,1,1,1,,,
geohydro4_3,,1,,,1,1,1,,,
geohydro4_4,,1,,,1,1,1,,,
geohydro4_5,,1,,,1,1,1,,,
geohydro4_6,,1,,,1,1,1,,,
geohydro4_7,,1,,,1,1,1,,,
geohydro4_8,,1,,,1,1,1,,,
geohydro4_9,,1,,,1,1,1,,,
geohydro4_10,,1,,,1,1,1,,,
geohydro5_1,,1,,,1,1,1,,,
geohydro5_2,,1,,,1,1,1,,,
geohydro5_3,,1,,,1,1,1,,,
geohydro5_4,,1,,,1,1,1,,,
geohydro5_5,,1,,,1,1,1,,,
geohydro5_6,,1,,,1,1,1,,,
geohydro5_7,,1,,,1,1,1,,,
geohydro5_8,,1,,,1,1,1,,,
geohydro5_9,,1,,,1,1,1,,,
geohydro5_10,,1,,,1,1,1,,,
pumped-hydro,,1,1,1,,,,1,,
pumped-hydro-flex,,1,1,1,,,,1,,
hydED_pumped-hydro,,1,,1,,,,1,,
hydED_pumped-hydro-flex,,1,,1,,,,1,,
hydD,,1,,,,,,,1,
hydND,,1,,,,,,,1,
hydSD,,1,1,1,,,,1,1,
hydSND,,1,1,1,,,,1,1,
hydNPD,,1,,,,,,,1,
hydNPND,,1,,,,,,,1,
biopower,,,,,,,,,1,
