i,t,capcost,fom,vom,heatrate
h2-fuel-cell,2010,1352.0840064286374,30.978663561235294,1.7054,9.0268
h2-fuel-cell,2011,1352.0840064286374,30.978663561235294,1.7054,9.0268
h2-fuel-cell,2012,1352.0840064286374,30.978663561235294,1.7054,9.0268
h2-fuel-cell,2013,1352.0840064286374,30.978663561235294,1.7054,9.0268
h2-fuel-cell,2014,1352.0840064286374,30.978663561235294,1.7054,9.0268
h2-fuel-cell,2015,1352.0840064286374,30.978663561235294,1.7054,9.0268
h2-fuel-cell,2016,1352.0840064286374,30.978663561235294,1.7054,9.0268
h2-fuel-cell,2017,1352.0840064286374,30.978663561235294,1.7054,9.0268
h2-fuel-cell,2018,1352.0840064286374,30.978663561235294,1.7054,9.0268
h2-fuel-cell,2019,1352.0840064286374,30.978663561235294,1.7054,9.0268
h2-fuel-cell,2020,1352.0840064286374,30.978663561235294,1.7054,9.0268
h2-fuel-cell,2021,1352.0840064286374,30.978663561235294,1.7054,9.0268
h2-fuel-cell,2022,1352.0840064286374,30.978663561235294,1.7054,9.0268
h2-fuel-cell,2023,1352.0840064286374,30.978663561235294,1.7054,9.0268
h2-fuel-cell,2024,1352.0840064286374,30.978663561235294,1.7054,9.0268
h2-fuel-cell,2025,1352.0840064286374,30.978663561235294,1.7054,9.0268
h2-fuel-cell,2026,1305.1709642886374,30.2244521612353,1.7054,9.0268
h2-fuel-cell,2027,1258.2579221486376,29.470240761235292,1.7054,9.0268
h2-fuel-cell,2028,1211.3448800086371,28.716029361235293,1.7054,9.0268
h2-fuel-cell,2029,1164.431837868637,27.961817961235294,1.7054,9.0268
h2-fuel-cell,2030,1117.518795728637,27.20760656123529,1.7054,9.0268
h2-fuel-cell,2031,1105.4285134286372,27.013233561235293,1.7054,9.0268
h2-fuel-cell,2032,1093.3382311286373,26.81886056123529,1.7054,9.0268
h2-fuel-cell,2033,1081.2479488286372,26.6244875612353,1.7054,9.0268
h2-fuel-cell,2034,1069.157666528637,26.430114561235296,1.7054,9.0268
h2-fuel-cell,2035,1057.0673842286371,26.23574156123529,1.7054,9.0268
h2-fuel-cell,2036,1053.3176370366373,26.17545764123529,1.7054,9.0268
h2-fuel-cell,2037,1049.5678898446374,26.11517372123529,1.7054,9.0268
h2-fuel-cell,2038,1045.818142652637,26.05488980123529,1.7054,9.0268
h2-fuel-cell,2039,1042.0683954606372,25.99460588123529,1.7054,9.0268
h2-fuel-cell,2040,1038.3186482686372,25.93432196123529,1.7054,9.0268
h2-fuel-cell,2041,1034.5293297586372,25.873401861235294,1.7054,9.0268
h2-fuel-cell,2042,1030.740011248637,25.812481761235297,1.7054,9.0268
h2-fuel-cell,2043,1026.9506927386371,25.751561661235293,1.7054,9.0268
h2-fuel-cell,2044,1023.1613742286372,25.690641561235292,1.7054,9.0268
h2-fuel-cell,2045,1019.3720557186372,25.629721461235295,1.7054,9.0268
h2-fuel-cell,2046,1015.6223085266372,25.569437541235295,1.7054,9.0268
h2-fuel-cell,2047,1011.8725613346372,25.509153621235296,1.7054,9.0268
h2-fuel-cell,2048,1008.1228141426373,25.448869701235296,1.7054,9.0268
h2-fuel-cell,2049,1004.3730669506374,25.388585781235296,1.7054,9.0268
h2-fuel-cell,2050,1000.6233197586372,25.328301861235296,1.7054,9.0268
