i,t,capcost,fom,vom,heatrate
h2-fuel-cell,2010,1342.191176928637,30.819618561235295,1.7054,9.0268
h2-fuel-cell,2011,1342.191176928637,30.819618561235295,1.7054,9.0268
h2-fuel-cell,2012,1342.191176928637,30.819618561235295,1.7054,9.0268
h2-fuel-cell,2013,1342.191176928637,30.819618561235295,1.7054,9.0268
h2-fuel-cell,2014,1342.191176928637,30.819618561235295,1.7054,9.0268
h2-fuel-cell,2015,1342.191176928637,30.819618561235295,1.7054,9.0268
h2-fuel-cell,2016,1342.191176928637,30.819618561235295,1.7054,9.0268
h2-fuel-cell,2017,1342.191176928637,30.819618561235295,1.7054,9.0268
h2-fuel-cell,2018,1342.191176928637,30.819618561235295,1.7054,9.0268
h2-fuel-cell,2019,1342.191176928637,30.819618561235295,1.7054,9.0268
h2-fuel-cell,2020,1342.191176928637,30.819618561235295,1.7054,9.0268
h2-fuel-cell,2021,1342.191176928637,30.819618561235295,1.7054,9.0268
h2-fuel-cell,2022,1342.191176928637,30.819618561235295,1.7054,9.0268
h2-fuel-cell,2023,1342.191176928637,30.819618561235295,1.7054,9.0268
h2-fuel-cell,2024,1342.191176928637,30.819618561235295,1.7054,9.0268
h2-fuel-cell,2025,1342.191176928637,30.819618561235295,1.7054,9.0268
h2-fuel-cell,2026,1278.6922589146377,29.798759421235296,1.7054,9.0268
h2-fuel-cell,2027,1215.1933409006372,28.777900281235297,1.7054,9.0268
h2-fuel-cell,2028,1151.694422886637,27.757041141235295,1.7054,9.0268
h2-fuel-cell,2029,1088.1955048726372,26.73618200123529,1.7054,9.0268
h2-fuel-cell,2030,1024.6965868586374,25.71532286123529,1.7054,9.0268
h2-fuel-cell,2031,1015.7665163666372,25.571755941235292,1.7054,9.0268
h2-fuel-cell,2032,1006.8364458746372,25.428189021235294,1.7054,9.0268
h2-fuel-cell,2033,997.9063753826374,25.284622101235296,1.7054,9.0268
h2-fuel-cell,2034,988.9763048906376,25.1410551812353,1.7054,9.0268
h2-fuel-cell,2035,980.0462343986374,24.99748826123529,1.7054,9.0268
h2-fuel-cell,2036,976.2721092146372,24.93681242123529,1.7054,9.0268
h2-fuel-cell,2037,972.4979840306372,24.876136581235293,1.7054,9.0268
h2-fuel-cell,2038,968.7238588466374,24.81546074123529,1.7054,9.0268
h2-fuel-cell,2039,964.9497336626372,24.754784901235293,1.7054,9.0268
h2-fuel-cell,2040,961.1756084786372,24.69410906123529,1.7054,9.0268
h2-fuel-cell,2041,957.4410546126372,24.63406940123529,1.7054,9.0268
h2-fuel-cell,2042,953.7065007466374,24.574029741235297,1.7054,9.0268
h2-fuel-cell,2043,949.9719468806376,24.513990081235292,1.7054,9.0268
h2-fuel-cell,2044,946.2373930146374,24.453950421235294,1.7054,9.0268
h2-fuel-cell,2045,942.5028391486372,24.39391076123529,1.7054,9.0268
h2-fuel-cell,2046,938.7287139646372,24.33323492123529,1.7054,9.0268
h2-fuel-cell,2047,934.9545887806372,24.272559081235297,1.7054,9.0268
h2-fuel-cell,2048,931.1804635966372,24.2118832412353,1.7054,9.0268
h2-fuel-cell,2049,927.4063384126372,24.15120740123529,1.7054,9.0268
h2-fuel-cell,2050,923.6322132286372,24.09053156123529,1.7054,9.0268
