*i,r,value
geohydro5_10,p7,0.11943103
geohydro5_3,p8,0
geohydro5_8,p8,0.41854663
geohydro5_9,p8,1
geohydro5_10,p8,0.376345679
geohydro5_3,p9,0.014631574
geohydro5_8,p9,0.260291128
geohydro5_9,p9,1
geohydro5_10,p9,0.309516807
geohydro5_2,p10,1
geohydro5_3,p10,0.092686497
geohydro5_5,p10,1
geohydro5_6,p10,1
geohydro5_7,p10,1
geohydro5_8,p10,0.244342555
geohydro5_9,p10,1
geohydro5_10,p10,0.261766926
geohydro5_3,p12,1
geohydro5_6,p12,0.151345015
geohydro5_7,p12,1
geohydro5_8,p12,0.101820204
geohydro5_9,p12,1
geohydro5_10,p12,0.235636233
geohydro5_9,p15,0.198941052
geohydro5_10,p15,0.126399835
geohydro5_9,p16,0.320597754
geohydro5_10,p16,0
geohydro5_10,p17,0.066334385
geohydro5_10,p21,0.523350002
geohydro5_5,p25,0.090049066
geohydro5_8,p25,0
geohydro5_9,p25,1
geohydro5_10,p25,0.062335882
geohydro5_10,p28,0.029472362
geohydro5_4,p31,0
geohydro5_9,p31,1
geohydro5_10,p31,0.027954571
geohydro5_10,p33,0.048022515
geohydro5_10,p34,0.031686046
