t,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
start2023_80pct2030_100pct2035,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,1159490400,1062866200,966242000,869617800,772993600,676369400,579745200,483121000,386496800,289872600,193248400,96624200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
start2022_95pct2035_100pct2045,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,1395511233,1297455004,1199398774,1101342545,1003286315,905230086,807173856,709117627,611061397,513005168,414948938,316892709,218836479,120780250,108702225,96624200,84546175,72468150,60390125,48312100,36234075,24156050,12078025,0,0,0,0,0,0
start2023_90pct2035_100pct2045,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,1207802500,1127282333,1046762167,966242000,885721833,805201667,724681500,644161333,563641167,483121000,402600833,322080667,241560500,217404450,193248400,169092350,144936300,120780250,96624200,72468150,48312100,24156050,0,0,0,0,0,0
start2024_80pct2030_100pct2035,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,1246003103,1118709986,991416869,864123752,736830634,609537517,482244400,385795520,289346640,192897760,96448880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
start2024_90pct2035_100pct2045,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,1278948385,1184600550,1090252715,995904880,901557045,807209210,712861375,618513540,524165705,429817870,335470035,241122200,217009980,192897760,168785540,144673320,120561100,96448880,72336660,48224440,24112220,0,0,0,0,0,0
start2027_100pct2035,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,1106792889,968443778,830094667,691745556,553396444,415047333,276698222,138349111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
start2027_95pct2050,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,1198285081,1151428162,1104571244,1057714325,1010857406,964000488,917143569,870286650,823429731,776572812,729715894,682858975,636002056,589145138,542288219,495431300,448574381,401717462,354860544,308003625,261146706,214289788,167432869,120575950
start2027_100pct2035_co2eWprecomb,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,1411350127,1234931361,1058512595,882093829,705675064,529256298,352837532,176418766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
start2027_95pct2050_co2eWprecomb,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,1528018312,1466825166,1405632019,1344438873,1283245727,1222052581,1160859435,1099666289,1038473142,977279996,916086850,854893704,793700558,732507412,671314266,610121119,548927973,487734827,426541681,365348535,304155388,242962242,181769096,120575950
start2027_95pct2035,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,1120190217,995238433,870286650,745334867,620383083,495431300,370479517,245527733,120575950,120575950,120575950,120575950,120575950,120575950,120575950,120575950,120575950,120575950,120575950,120575950,120575950,120575950,120575950,120575950
start2027_95pct2035_co2eWprecomb,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,1428434010,1264951752,1101469495,937987238,774504980,611022722,447540465,284058208,120575950,120575950,120575950,120575950,120575950,120575950,120575950,120575950,120575950,120575950,120575950,120575950,120575950,120575950,120575950,120575950
start2030_100pct2045,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,989578427,923606532,857634637,791662741,725690846,659718951,593747056,527775161,461803266,395831371,329859476,263887580,197915685,131943790,65971895,0,0,0,0,0,0
