i,r,etype,SO2,NOx,CO2,N2O,CH4
CoalOldUns,p12131,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p28017,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p26035,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p20157,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p12127,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p40017,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p13115,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p32001,process,0.177201123,0.999626455,1.008830478,3.117913832,3.174603175
CoalOldUns,p31181,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p17067,process,0.435494286,1.841417155,1.015740048,1.133786848,0.989486704
CoalOldUns,p46067,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p41013,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p50011,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p26103,process,0.435494286,1.841417155,1.015740048,1.133786848,0.989486704
CoalOldUns,p37057,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p17025,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p29103,process,0.435494286,1.841417155,1.015740048,1.133786848,0.989486704
CoalOldUns,p29117,process,0.435494286,1.841417155,1.015740048,1.133786848,0.989486704
CoalOldUns,p42117,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p31043,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p26089,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p51181,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p48391,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p39017,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p13273,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p13063,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p56013,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p18115,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p13073,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p08115,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p30065,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p42043,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p46101,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p54079,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p34037,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p20039,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p18123,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p28145,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p31015,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p27095,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p38099,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
