case_name,x_Batt,x_Dem,x_Fuel,x_Pol,x_REcost,x_Siting,x_Batt_label,x_Dem_label,x_Fuel_label,x_Pol_label,x_REcost_label,x_Siting_label,cap_battery_li,cap_distpv,cap_gas-cc,cap_gas-cc-ccs_mod,cap_gas-ct,cap_hydED,cap_hydEND,cap_lfill-gas,cap_nuclear,cap_o-g-s,cap_pumped-hydro,cap_upv_2,cap_upv_3,cap_upv_4,cap_upv_5,cap_wind-ons_10,cap_wind-ons_3,cap_wind-ons_5,cap_wind-ons_6,cap_wind-ons_7,cap_wind-ons_8,cap_wind-ons_9,gen_battery_li,gen_distpv,gen_gas-cc,gen_gas-cc-ccs_mod,gen_gas-ct,gen_hydED,gen_hydEND,gen_lfill-gas,gen_nuclear,gen_o-g-s,gen_pumped-hydro,gen_upv_2,gen_upv_3,gen_upv_4,gen_upv_5,gen_wind-ofs_2,gen_wind-ofs_8,gen_wind-ons_10,gen_wind-ons_3,gen_wind-ons_5,gen_wind-ons_6,gen_wind-ons_7,gen_wind-ons_8,gen_wind-ons_9,tran_AC_total,tran_total,cost_inv_investment_capacity_costs,cost_inv_investment_refurbishment_capacity,cost_inv_investment_spurline_costs_rsc_technologies,cost_op_co2_transport_storage,cost_op_fom_costs,cost_op_fuelcosts_objfn,cost_op_h2_transport_intrareg,cost_op_ptc_payments_negative,cost_op_spurline_fom,cost_op_startcost,cost_op_transmission_fom,cost_op_transmission_intrazone_fom,cost_op_vom_costs,cost_total,runtime_seconds
test0_DemHi_FuelHi_REcostHi_SitingLim_BattHi_PolIRA,2,2,2,0,2,2,Hi,Hi,Hi,IRA,Hi,Lim,6656.234466,12994.628099,90987.868049,2993.511584,43356.116664,142.0,405.8,24.4,4980.0,1160.4,5.0,313.410448,43505.9438,26861.392589,10870.314726,8242.32,934.457545,3045.41,3934.686667,8763.436218,15136.732121,10542.871667,-95126.871127,30008120.2923,411535320.701324,22089169.876261,112505486.284945,299655.216,443341.2192,100884.403638,38031103.86808,1199897.066743,-1290.92025,760295.202159,104232333.394835,54707052.748277,19962513.748483,0.0,-0.0,27989210.238134,2242568.703699,5686025.760974,8721425.520792,29820891.328903,50303067.244261,37158495.059339,34478.6,34478.6,0.0,1010883474.423761,0.0,90338586.093852,5109452196.497225,7844171823.982027,0.0,-185792913.565925,297282737.225088,168139689.403019,375947903.342,235296599.896612,1347309648.282638,16293029745.580297,3051.250599
test0_DemHi_FuelHi_REcostHi_SitingLim_BattHi_PolOBBBA,2,2,2,1,2,2,Hi,Hi,Hi,OBBBA,Hi,Lim,5602.558935,12994.628099,91776.241106,31102.220368,29017.162532,142.0,405.8,24.4,4980.0,1270.4,5.0,313.410448,9118.206224,25604.42,10642.388959,5226.327764,227.816834,2457.91,2691.446667,3561.908333,8268.14,13043.271667,-74156.208245,30008120.2923,405418119.724652,193577391.571718,78893351.873036,299655.216,443341.2192,100884.403638,38061979.640945,1386103.097005,-1220.655,917292.59442,22430484.615453,51499475.017401,20324328.5879,-0.0,0.0,16849142.927401,550151.916249,4656749.798033,5561000.395818,12494201.447078,27993865.649959,45843468.883628,34478.6,34478.6,1493095403.565195,4647348053.883406,373234435.030064,791727758.969629,5105908255.419971,9362530461.961962,-0.0,0.0,180114570.2001,80655632.392678,375947903.342,187197662.725909,1690731330.416452,24288491467.907364,2669.430375
test0_DemHi_FuelHi_REcostHi_SitingLim_BattLo_PolIRA,0,2,2,0,2,2,Lo,Hi,Hi,IRA,Hi,Lim,18948.35869,12994.628099,92983.190173,4506.482818,23133.896041,142.0,405.8,24.4,4980.0,1160.4,5.0,313.410448,45194.63751,28216.256406,12318.600858,9531.190314,0.0,2691.41,4078.686667,8032.3,11560.542915,10274.427276,-4556579.955687,30008120.2923,438462802.48367,33253408.817606,73120376.623744,299655.216,443341.2192,112207.647773,39195140.743258,1192339.096697,-1152.498,917292.59442,110781002.220298,58151150.398963,25697844.16478,0.0,0.0,32945667.346062,0.0,5110913.310083,9029387.764867,27860856.561404,39386132.820362,36770388.368852,34478.6,34478.6,1642203486.074344,526631260.397103,469475742.676365,135997230.869768,5108464412.055023,7628325897.075325,-0.0,-216997521.906753,293242012.868586,79360009.36618,375947903.342,229332021.509823,1341516770.864005,17613499225.19177,2415.774068
