r,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
p48235,0.0,0.003,0.0,0.2,0.0,0.0,0.0,0.009,0.787
p48237,0.003,0.015,0.0,0.049,0.0,0.0,0.001,0.047,0.885
p48239,0.0,0.031,0.0,0.009,0.0,0.0,0.003,0.002,0.954
p48241,0.003,0.181,0.0,0.003,0.0,0.0,0.016,0.009,0.788
p48243,0.0,0.0,0.0,0.269,0.0,0.001,0.0,0.005,0.725
p48245,0.002,0.141,0.0,0.003,0.0,0.0,0.014,0.005,0.836
p48247,0.0,0.005,0.0,0.009,0.0,0.0,0.001,0.0,0.985
p48249,0.0,0.009,0.0,0.011,0.0,0.0,0.001,0.001,0.979
p48251,0.003,0.026,0.0,0.03,0.0,0.0,0.002,0.025,0.913
p48253,0.001,0.005,0.0,0.126,0.0,0.0,0.0,0.03,0.838
p48255,0.0,0.015,0.0,0.018,0.0,0.0,0.001,0.002,0.963
p48257,0.005,0.046,0.0,0.016,0.0,0.0,0.004,0.037,0.893
p48259,0.0,0.011,0.0,0.043,0.0,0.0,0.001,0.004,0.941
p48261,0.0,0.007,0.0,0.006,0.0,0.0,0.001,0.0,0.985
p48263,0.001,0.003,0.0,0.197,0.0,0.0,0.0,0.039,0.761
p48265,0.0,0.008,0.0,0.061,0.0,0.0,0.001,0.004,0.926
p48267,0.0,0.006,0.0,0.088,0.0,0.0,0.001,0.006,0.9
p48269,0.001,0.004,0.0,0.152,0.0,0.0,0.0,0.056,0.787
p48271,0.0,0.004,0.0,0.068,0.0,0.0,0.0,0.002,0.925
p48273,0.0,0.009,0.0,0.008,0.0,0.0,0.001,0.001,0.981
p48275,0.001,0.005,0.0,0.117,0.0,0.0,0.0,0.058,0.818
p48277,0.01,0.064,0.0,0.01,0.0,0.0,0.005,0.085,0.826
p48279,0.0,0.001,0.0,0.377,0.0,0.001,0.0,0.057,0.564
p48281,0.001,0.017,0.0,0.047,0.0,0.0,0.001,0.01,0.924
p48283,0.0,0.006,0.0,0.023,0.0,0.0,0.001,0.001,0.969
p48285,0.001,0.029,0.0,0.013,0.0,0.0,0.003,0.003,0.951
p48287,0.001,0.034,0.0,0.018,0.0,0.0,0.003,0.006,0.937
p48289,0.002,0.064,0.0,0.012,0.0,0.0,0.005,0.015,0.901
p48291,0.002,0.111,0.0,0.005,0.0,0.0,0.01,0.006,0.866
p48293,0.002,0.046,0.0,0.018,0.0,0.0,0.004,0.016,0.914
p48295,0.002,0.002,0.0,0.168,0.0,0.0,0.0,0.3,0.528
p48297,0.0,0.011,0.0,0.015,0.0,0.0,0.001,0.001,0.971
p48299,0.001,0.012,0.0,0.054,0.0,0.0,0.001,0.007,0.925
p48301,0.0,0.0,0.0,0.466,0.0,0.001,0.0,0.009,0.524
p48303,0.0,0.001,0.0,0.311,0.0,0.0,0.0,0.046,0.641
p48305,0.0,0.001,0.0,0.312,0.0,0.0,0.0,0.033,0.652
p48307,0.001,0.008,0.0,0.087,0.0,0.0,0.001,0.01,0.894
p48309,0.002,0.032,0.0,0.026,0.0,0.0,0.003,0.015,0.923
p48311,0.0,0.008,0.0,0.019,0.0,0.0,0.001,0.001,0.971
p48313,0.002,0.066,0.0,0.011,0.0,0.0,0.006,0.011,0.903
p48315,0.01,0.124,0.0,0.005,0.0,0.0,0.011,0.045,0.805
p48317,0.0,0.001,0.0,0.333,0.0,0.0,0.0,0.017,0.648
p48319,0.0,0.009,0.0,0.072,0.0,0.0,0.001,0.007,0.911
p48321,0.001,0.039,0.0,0.006,0.0,0.0,0.004,0.002,0.948
p48323,0.0,0.003,0.0,0.046,0.0,0.0,0.0,0.002,0.949
p48325,0.0,0.008,0.0,0.04,0.0,0.0,0.001,0.003,0.948
p48327,0.0,0.006,0.0,0.103,0.0,0.0,0.001,0.008,0.882
p48329,0.0,0.001,0.0,0.343,0.0,0.0,0.0,0.012,0.644
p48331,0.001,0.036,0.0,0.021,0.0,0.0,0.003,0.009,0.931
p48333,0.001,0.013,0.0,0.06,0.0,0.0,0.001,0.013,0.912
p48335,0.0,0.003,0.0,0.212,0.0,0.0,0.0,0.02,0.765
p48337,0.004,0.019,0.0,0.038,0.0,0.0,0.001,0.065,0.872
p48339,0.002,0.079,0.0,0.008,0.0,0.0,0.007,0.007,0.898
p48341,0.001,0.001,0.0,0.269,0.0,0.0,0.0,0.21,0.519
p48343,0.011,0.102,0.0,0.006,0.0,0.0,0.008,0.058,0.815
p48345,0.001,0.003,0.0,0.194,0.0,0.0,0.0,0.074,0.728
p48347,0.005,0.134,0.0,0.005,0.0,0.0,0.011,0.018,0.826
p48349,0.003,0.046,0.0,0.017,0.0,0.0,0.004,0.024,0.905
p48351,0.003,0.207,0.0,0.002,0.0,0.0,0.018,0.009,0.76
p48353,0.001,0.004,0.0,0.165,0.0,0.0,0.0,0.021,0.81
p48355,0.0,0.012,0.0,0.008,0.0,0.0,0.001,0.001,0.977
p48357,0.001,0.001,0.0,0.207,0.0,0.0,0.0,0.286,0.503
p48359,0.0,0.001,0.0,0.378,0.0,0.001,0.0,0.135,0.486
p48361,0.002,0.172,0.0,0.002,0.0,0.0,0.016,0.006,0.802
p48363,0.002,0.014,0.0,0.053,0.0,0.0,0.001,0.033,0.897
p48365,0.007,0.143,0.0,0.004,0.0,0.0,0.013,0.028,0.806
p48367,0.002,0.019,0.0,0.04,0.0,0.0,0.002,0.034,0.904
p48369,0.0,0.001,0.0,0.43,0.0,0.001,0.0,0.07,0.499
p48371,0.0,0.001,0.0,0.274,0.0,0.001,0.0,0.006,0.719
p48373,0.003,0.12,0.0,0.005,0.0,0.0,0.01,0.01,0.851
p48375,0.001,0.001,0.0,0.286,0.0,0.0,0.0,0.159,0.553
p48377,0.0,0.0,0.0,0.175,0.0,0.001,0.0,0.003,0.82
p48379,0.006,0.057,0.0,0.012,0.0,0.0,0.005,0.048,0.872
p48381,0.001,0.001,0.0,0.299,0.0,0.0,0.0,0.119,0.58
p48383,0.0,0.002,0.0,0.256,0.0,0.0,0.0,0.009,0.733
p48385,0.0,0.006,0.0,0.069,0.0,0.0,0.0,0.004,0.921
p48387,0.012,0.085,0.0,0.007,0.0,0.0,0.006,0.084,0.805
p48389,0.0,0.0,0.0,0.369,0.0,0.001,0.0,0.007,0.623
p48391,0.0,0.018,0.0,0.01,0.0,0.0,0.002,0.001,0.969
p48393,0.001,0.002,0.0,0.185,0.0,0.0,0.0,0.233,0.578
p48395,0.002,0.048,0.0,0.016,0.0,0.0,0.004,0.011,0.919
p48397,0.005,0.041,0.0,0.017,0.0,0.0,0.004,0.045,0.889
p48399,0.001,0.005,0.0,0.131,0.0,0.0,0.0,0.015,0.847
p48401,0.006,0.114,0.0,0.006,0.0,0.0,0.01,0.027,0.837
p48403,0.004,0.2,0.0,0.003,0.0,0.0,0.017,0.014,0.762
p48405,0.004,0.171,0.0,0.004,0.0,0.0,0.015,0.015,0.791
p48407,0.002,0.099,0.0,0.006,0.0,0.0,0.009,0.009,0.875
p48409,0.0,0.013,0.0,0.01,0.0,0.0,0.002,0.001,0.974
p48411,0.001,0.012,0.0,0.064,0.0,0.0,0.001,0.01,0.912
p48413,0.0,0.004,0.0,0.146,0.0,0.0,0.0,0.007,0.842
p48415,0.0,0.003,0.0,0.211,0.0,0.0,0.0,0.028,0.758
p48417,0.001,0.007,0.0,0.095,0.0,0.0,0.001,0.031,0.865
p48419,0.006,0.165,0.0,0.004,0.0,0.0,0.014,0.02,0.791
p48421,0.001,0.001,0.0,0.265,0.0,0.0,0.0,0.266,0.467
p48423,0.006,0.084,0.0,0.008,0.0,0.0,0.007,0.034,0.861
p48425,0.002,0.021,0.0,0.038,0.0,0.0,0.002,0.022,0.915
p48427,0.0,0.004,0.0,0.007,0.0,0.0,0.001,0.0,0.989
p48429,0.001,0.01,0.0,0.071,0.0,0.0,0.001,0.032,0.884
p48431,0.0,0.003,0.0,0.224,0.0,0.0,0.0,0.014,0.759
p48433,0.001,0.004,0.0,0.152,0.0,0.0,0.0,0.041,0.802
p48435,0.0,0.004,0.0,0.126,0.0,0.0,0.0,0.006,0.864
p48437,0.001,0.001,0.0,0.289,0.0,0.0,0.0,0.09,0.618
p48439,0.003,0.025,0.0,0.029,0.0,0.0,0.002,0.034,0.906
p48441,0.001,0.006,0.0,0.126,0.0,0.0,0.0,0.022,0.845
p48443,0.0,0.001,0.0,0.182,0.0,0.0,0.0,0.004,0.812
p48445,0.0,0.001,0.0,0.382,0.0,0.001,0.0,0.03,0.587
p48447,0.001,0.008,0.0,0.088,0.0,0.0,0.001,0.044,0.858
p48449,0.01,0.09,0.0,0.007,0.0,0.0,0.007,0.063,0.822
p48451,0.0,0.004,0.0,0.16,0.0,0.0,0.0,0.011,0.824
p48453,0.001,0.021,0.0,0.03,0.0,0.0,0.002,0.006,0.941
p48455,0.003,0.104,0.0,0.007,0.0,0.0,0.009,0.013,0.865
p48457,0.003,0.152,0.0,0.004,0.0,0.0,0.013,0.01,0.818
p48459,0.008,0.091,0.0,0.007,0.0,0.0,0.008,0.045,0.841
p48461,0.0,0.001,0.0,0.31,0.0,0.0,0.0,0.009,0.68
p48463,0.0,0.005,0.0,0.053,0.0,0.0,0.0,0.002,0.938
p48465,0.0,0.002,0.0,0.118,0.0,0.0,0.0,0.004,0.875
p48467,0.005,0.059,0.0,0.012,0.0,0.0,0.005,0.038,0.88
p48469,0.0,0.024,0.0,0.011,0.0,0.0,0.002,0.002,0.961
p48471,0.002,0.08,0.0,0.009,0.0,0.0,0.007,0.01,0.893
p48473,0.001,0.057,0.0,0.009,0.0,0.0,0.005,0.006,0.921
p48475,0.0,0.001,0.0,0.403,0.0,0.001,0.0,0.008,0.588
p48477,0.001,0.047,0.0,0.013,0.0,0.0,0.004,0.006,0.929
p48479,0.0,0.004,0.0,0.018,0.0,0.0,0.0,0.001,0.976
p48481,0.001,0.041,0.0,0.009,0.0,0.0,0.004,0.003,0.942
p48483,0.002,0.003,0.0,0.136,0.0,0.0,0.0,0.191,0.668
p48485,0.003,0.01,0.0,0.066,0.0,0.0,0.001,0.08,0.84
p48487,0.002,0.007,0.0,0.089,0.0,0.0,0.001,0.084,0.818
p48489,0.0,0.006,0.0,0.004,0.0,0.0,0.001,0.0,0.988
