r,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
p51167,0.139,0.348,0.043,0.0,0.002,0.0,0.453,0.009,0.006
p51169,0.116,0.397,0.032,0.0,0.001,0.0,0.436,0.011,0.008
p51171,0.13,0.062,0.264,0.0,0.023,0.0,0.52,0.001,0.001
p51173,0.119,0.372,0.044,0.0,0.002,0.0,0.451,0.006,0.004
p51175,0.036,0.06,0.106,0.0,0.017,0.0,0.779,0.001,0.001
p51177,0.08,0.056,0.192,0.0,0.03,0.0,0.641,0.001,0.001
p51179,0.077,0.047,0.223,0.0,0.035,0.0,0.618,0.001,0.001
p51181,0.039,0.05,0.14,0.0,0.023,0.0,0.746,0.001,0.001
p51183,0.042,0.064,0.112,0.0,0.018,0.0,0.763,0.001,0.001
p51185,0.152,0.314,0.056,0.0,0.002,0.0,0.464,0.007,0.004
p51187,0.112,0.051,0.279,0.0,0.028,0.0,0.528,0.001,0.001
p51191,0.113,0.4,0.036,0.0,0.002,0.0,0.436,0.008,0.005
p51193,0.053,0.036,0.215,0.0,0.039,0.0,0.655,0.001,0.0
p51195,0.137,0.388,0.036,0.0,0.001,0.0,0.419,0.011,0.007
p51197,0.122,0.327,0.053,0.0,0.003,0.0,0.487,0.005,0.004
p51199,0.034,0.038,0.171,0.0,0.027,0.0,0.729,0.001,0.0
p51510,0.067,0.032,0.281,0.0,0.047,0.0,0.572,0.001,0.0
p51520,0.104,0.42,0.032,0.0,0.001,0.0,0.428,0.009,0.006
p51530,0.119,0.14,0.126,0.0,0.011,0.0,0.6,0.003,0.002
p51540,0.103,0.087,0.166,0.0,0.019,0.0,0.623,0.002,0.001
p51550,0.026,0.039,0.129,0.0,0.02,0.0,0.785,0.001,0.0
p51570,0.052,0.064,0.125,0.0,0.021,0.0,0.737,0.001,0.001
p51580,0.145,0.179,0.119,0.0,0.008,0.0,0.545,0.003,0.002
p51590,0.075,0.189,0.057,0.0,0.006,0.0,0.668,0.003,0.002
p51595,0.042,0.076,0.09,0.0,0.015,0.0,0.775,0.001,0.001
p51600,0.074,0.035,0.285,0.0,0.043,0.0,0.562,0.001,0.0
p51610,0.07,0.033,0.291,0.0,0.046,0.0,0.56,0.001,0.0
p51620,0.033,0.055,0.11,0.0,0.017,0.0,0.783,0.001,0.001
p51630,0.076,0.05,0.207,0.0,0.033,0.0,0.633,0.001,0.001
p51640,0.102,0.335,0.046,0.0,0.003,0.0,0.506,0.005,0.003
p51650,0.03,0.036,0.161,0.0,0.025,0.0,0.747,0.001,0.0
p51660,0.133,0.088,0.203,0.0,0.018,0.0,0.557,0.002,0.001
p51670,0.05,0.06,0.131,0.0,0.022,0.0,0.734,0.001,0.001
p51678,0.124,0.143,0.129,0.0,0.011,0.0,0.589,0.003,0.002
p51680,0.1,0.142,0.103,0.0,0.01,0.0,0.64,0.002,0.002
p51683,0.08,0.041,0.267,0.0,0.038,0.0,0.573,0.001,0.0
p51685,0.079,0.039,0.271,0.0,0.039,0.0,0.57,0.001,0.0
p51690,0.088,0.226,0.057,0.0,0.005,0.0,0.618,0.003,0.002
p51700,0.033,0.041,0.154,0.0,0.024,0.0,0.747,0.001,0.0
p51710,0.028,0.036,0.151,0.0,0.024,0.0,0.76,0.001,0.0
p51720,0.134,0.385,0.036,0.0,0.001,0.0,0.425,0.011,0.007
p51730,0.05,0.065,0.122,0.0,0.02,0.0,0.741,0.001,0.001
p51735,0.03,0.035,0.171,0.0,0.027,0.0,0.736,0.001,0.0
p51740,0.028,0.039,0.142,0.0,0.022,0.0,0.767,0.001,0.0
p51750,0.128,0.257,0.069,0.0,0.004,0.0,0.534,0.004,0.003
p51760,0.06,0.062,0.134,0.0,0.024,0.0,0.718,0.001,0.001
p51770,0.118,0.198,0.086,0.0,0.007,0.0,0.585,0.003,0.002
p51775,0.122,0.204,0.085,0.0,0.006,0.0,0.576,0.004,0.002
p51790,0.127,0.108,0.169,0.0,0.015,0.0,0.578,0.002,0.001
p51800,0.03,0.046,0.121,0.0,0.019,0.0,0.783,0.001,0.0
p51810,0.024,0.032,0.146,0.0,0.023,0.0,0.775,0.001,0.0
p51820,0.117,0.104,0.163,0.0,0.016,0.0,0.597,0.002,0.001
p51830,0.039,0.044,0.161,0.0,0.026,0.0,0.73,0.001,0.0
p51840,0.111,0.043,0.321,0.0,0.03,0.0,0.494,0.001,0.001
p53001,0.0,0.0,0.0,0.326,0.0,0.674,0.0,0.001,0.0
p53003,0.0,0.0,0.0,0.471,0.0,0.528,0.0,0.001,0.0
p53005,0.0,0.0,0.0,0.234,0.0,0.766,0.0,0.0,0.0
p53007,0.0,0.0,0.0,0.157,0.0,0.843,0.0,0.0,0.0
p53009,0.0,0.0,0.0,0.038,0.0,0.962,0.0,0.0,0.0
p53011,0.0,0.0,0.0,0.065,0.0,0.935,0.0,0.0,0.0
p53013,0.0,0.0,0.0,0.398,0.0,0.601,0.0,0.001,0.0
p53015,0.0,0.0,0.0,0.062,0.0,0.938,0.0,0.0,0.0
p53017,0.0,0.0,0.0,0.223,0.0,0.777,0.0,0.001,0.0
p53019,0.0,0.0,0.0,0.334,0.0,0.665,0.0,0.001,0.0
p53021,0.0,0.0,0.0,0.29,0.0,0.71,0.0,0.001,0.0
p53023,0.0,0.0,0.0,0.44,0.0,0.559,0.0,0.001,0.0
p53025,0.0,0.0,0.0,0.241,0.0,0.759,0.0,0.001,0.0
p53027,0.0,0.0,0.0,0.038,0.0,0.962,0.0,0.0,0.0
p53029,0.0,0.0,0.0,0.07,0.0,0.93,0.0,0.0,0.0
p53031,0.0,0.0,0.0,0.044,0.0,0.956,0.0,0.0,0.0
p53033,0.0,0.0,0.0,0.094,0.0,0.906,0.0,0.0,0.0
p53035,0.0,0.0,0.0,0.066,0.0,0.934,0.0,0.0,0.0
p53037,0.0,0.0,0.0,0.15,0.0,0.85,0.0,0.0,0.0
p53039,0.0,0.0,0.0,0.136,0.0,0.863,0.0,0.0,0.0
p53041,0.0,0.0,0.0,0.071,0.0,0.929,0.0,0.0,0.0
p53043,0.0,0.0,0.0,0.342,0.0,0.657,0.0,0.001,0.0
p53045,0.0,0.0,0.0,0.051,0.0,0.948,0.0,0.0,0.0
p53047,0.0,0.0,0.0,0.221,0.0,0.778,0.0,0.001,0.0
p53049,0.0,0.0,0.0,0.038,0.0,0.962,0.0,0.0,0.0
p53051,0.0,0.0,0.0,0.472,0.0,0.527,0.0,0.001,0.0
p53053,0.0,0.0,0.0,0.081,0.0,0.919,0.0,0.0,0.0
p53055,0.0,0.0,0.0,0.059,0.0,0.94,0.0,0.0,0.0
p53057,0.0,0.0,0.0,0.098,0.0,0.902,0.0,0.0,0.0
p53059,0.0,0.0,0.0,0.086,0.0,0.914,0.0,0.0,0.0
p53061,0.0,0.0,0.0,0.1,0.0,0.9,0.0,0.0,0.0
p53063,0.0,0.0,0.0,0.457,0.0,0.542,0.0,0.001,0.0
p53065,0.0,0.0,0.0,0.405,0.0,0.594,0.0,0.001,0.0
p53067,0.0,0.0,0.0,0.059,0.0,0.941,0.0,0.0,0.0
p53069,0.0,0.0,0.0,0.044,0.0,0.956,0.0,0.0,0.0
p53071,0.0,0.0,0.0,0.333,0.0,0.666,0.0,0.001,0.0
p53073,0.0,0.0,0.0,0.096,0.0,0.903,0.0,0.0,0.0
p53075,0.0,0.0,0.0,0.442,0.0,0.557,0.0,0.001,0.0
p53077,0.0,0.0,0.0,0.145,0.0,0.855,0.0,0.0,0.0
p54001,0.224,0.091,0.26,0.0,0.01,0.0,0.412,0.002,0.001
p54003,0.101,0.034,0.373,0.0,0.033,0.0,0.458,0.001,0.0
p54005,0.243,0.265,0.089,0.0,0.003,0.0,0.391,0.006,0.003
p54007,0.232,0.148,0.187,0.0,0.006,0.0,0.421,0.003,0.002
p54009,0.31,0.056,0.307,0.0,0.008,0.0,0.316,0.002,0.001
p54011,0.311,0.269,0.082,0.0,0.002,0.0,0.327,0.006,0.003
p54013,0.268,0.161,0.179,0.0,0.005,0.0,0.382,0.004,0.002
p54015,0.246,0.181,0.147,0.0,0.005,0.0,0.415,0.004,0.002
p54017,0.275,0.107,0.248,0.0,0.007,0.0,0.359,0.003,0.001
p54019,0.206,0.235,0.112,0.0,0.004,0.0,0.436,0.005,0.003
p54021,0.257,0.14,0.203,0.0,0.006,0.0,0.389,0.003,0.002
p54023,0.17,0.067,0.284,0.0,0.017,0.0,0.461,0.002,0.001
p54025,0.172,0.201,0.122,0.0,0.006,0.0,0.492,0.004,0.002
p54027,0.134,0.047,0.334,0.0,0.024,0.0,0.46,0.001,0.001
p54029,0.311,0.049,0.31,0.0,0.008,0.0,0.319,0.002,0.001
p54031,0.148,0.062,0.279,0.0,0.02,0.0,0.489,0.001,0.001
p54033,0.256,0.095,0.265,0.0,0.008,0.0,0.373,0.002,0.001
p54035,0.317,0.192,0.135,0.0,0.003,0.0,0.345,0.004,0.002
p54037,0.095,0.034,0.35,0.0,0.036,0.0,0.484,0.001,0.0
p54039,0.259,0.221,0.116,0.0,0.003,0.0,0.392,0.005,0.003
p54041,0.245,0.118,0.226,0.0,0.007,0.0,0.4,0.003,0.001
p54043,0.276,0.274,0.081,0.0,0.002,0.0,0.357,0.006,0.004
p54045,0.224,0.312,0.071,0.0,0.002,0.0,0.38,0.007,0.004
p54047,0.168,0.339,0.06,0.0,0.002,0.0,0.42,0.006,0.004
p54049,0.251,0.078,0.303,0.0,0.009,0.0,0.357,0.002,0.001
p54051,0.301,0.073,0.296,0.0,0.007,0.0,0.32,0.002,0.001
p54053,0.311,0.228,0.112,0.0,0.003,0.0,0.338,0.005,0.003
p54055,0.162,0.286,0.074,0.0,0.003,0.0,0.466,0.005,0.003
p54057,0.153,0.052,0.34,0.0,0.02,0.0,0.434,0.001,0.001
p54059,0.209,0.347,0.061,0.0,0.002,0.0,0.37,0.007,0.004
p54061,0.232,0.067,0.332,0.0,0.01,0.0,0.356,0.002,0.001
p54063,0.153,0.232,0.093,0.0,0.005,0.0,0.51,0.004,0.003
p54065,0.111,0.035,0.385,0.0,0.029,0.0,0.438,0.001,0.0
p54067,0.215,0.186,0.143,0.0,0.006,0.0,0.444,0.004,0.002
p54069,0.304,0.063,0.303,0.0,0.008,0.0,0.319,0.002,0.001
p54071,0.166,0.092,0.222,0.0,0.014,0.0,0.503,0.002,0.001
p54073,0.324,0.117,0.215,0.0,0.005,0.0,0.335,0.003,0.001
p54075,0.174,0.144,0.168,0.0,0.009,0.0,0.501,0.003,0.002
p54077,0.204,0.066,0.322,0.0,0.013,0.0,0.393,0.002,0.001
p54079,0.297,0.239,0.104,0.0,0.003,0.0,0.35,0.005,0.003
p54081,0.193,0.277,0.088,0.0,0.003,0.0,0.429,0.005,0.003
p54083,0.197,0.103,0.221,0.0,0.011,0.0,0.465,0.002,0.001
p54085,0.295,0.129,0.211,0.0,0.005,0.0,0.355,0.003,0.002
p54087,0.283,0.183,0.15,0.0,0.004,0.0,0.374,0.004,0.002
p54089,0.17,0.254,0.092,0.0,0.004,0.0,0.472,0.005,0.003
p54091,0.234,0.082,0.285,0.0,0.01,0.0,0.386,0.002,0.001
p54093,0.194,0.077,0.273,0.0,0.013,0.0,0.439,0.002,0.001
p54095,0.303,0.099,0.253,0.0,0.006,0.0,0.335,0.002,0.001
p54097,0.223,0.112,0.224,0.0,0.009,0.0,0.428,0.003,0.001
p54099,0.273,0.309,0.067,0.0,0.002,0.0,0.338,0.007,0.004
p54101,0.205,0.148,0.175,0.0,0.007,0.0,0.459,0.003,0.002
p54103,0.288,0.082,0.293,0.0,0.007,0.0,0.327,0.002,0.001
p54105,0.292,0.162,0.175,0.0,0.004,0.0,0.36,0.004,0.002
p54107,0.324,0.15,0.175,0.0,0.004,0.0,0.342,0.004,0.002
p54109,0.186,0.322,0.071,0.0,0.003,0.0,0.408,0.006,0.004
p55001,0.669,0.007,0.005,0.001,0.0,0.0,0.003,0.313,0.002
p55003,0.598,0.001,0.001,0.001,0.0,0.0,0.001,0.398,0.0
p55005,0.594,0.001,0.001,0.002,0.0,0.0,0.001,0.401,0.001
p55007,0.564,0.001,0.001,0.001,0.0,0.0,0.0,0.432,0.0
p55009,0.822,0.009,0.013,0.0,0.001,0.0,0.006,0.147,0.001
p55011,0.519,0.002,0.001,0.001,0.0,0.0,0.001,0.473,0.001
p55013,0.523,0.001,0.001,0.002,0.0,0.0,0.0,0.473,0.0
p55015,0.797,0.011,0.012,0.0,0.0,0.0,0.007,0.17,0.002
p55017,0.653,0.002,0.002,0.001,0.0,0.0,0.001,0.34,0.001
p55019,0.664,0.003,0.003,0.001,0.0,0.0,0.002,0.326,0.001
p55021,0.691,0.011,0.007,0.001,0.0,0.0,0.004,0.283,0.003
p55023,0.509,0.006,0.002,0.001,0.0,0.0,0.002,0.477,0.003
p55025,0.658,0.013,0.007,0.001,0.0,0.0,0.005,0.313,0.004
p55027,0.74,0.014,0.01,0.001,0.0,0.0,0.007,0.225,0.003
p55029,0.876,0.007,0.017,0.0,0.001,0.0,0.007,0.09,0.001
p55031,0.545,0.001,0.001,0.002,0.0,0.0,0.0,0.451,0.0
p55033,0.59,0.002,0.001,0.001,0.0,0.0,0.001,0.404,0.001
p55035,0.604,0.002,0.002,0.001,0.0,0.0,0.001,0.388,0.001
p55037,0.785,0.003,0.006,0.0,0.0,0.0,0.003,0.201,0.0
p55039,0.769,0.012,0.011,0.001,0.0,0.0,0.007,0.197,0.002
p55041,0.792,0.003,0.006,0.0,0.0,0.0,0.003,0.195,0.001
p55043,0.533,0.008,0.003,0.001,0.0,0.0,0.002,0.449,0.004
p55045,0.605,0.014,0.006,0.001,0.0,0.0,0.004,0.366,0.005
p55047,0.732,0.01,0.008,0.001,0.0,0.0,0.005,0.242,0.002
p55049,0.589,0.009,0.004,0.001,0.0,0.0,0.003,0.39,0.004
p55051,0.672,0.001,0.002,0.001,0.0,0.0,0.001,0.322,0.0
p55053,0.594,0.003,0.003,0.001,0.0,0.0,0.001,0.396,0.001
p55055,0.704,0.017,0.01,0.001,0.0,0.0,0.007,0.258,0.004
p55057,0.632,0.006,0.004,0.001,0.0,0.0,0.002,0.353,0.002
p55059,0.737,0.033,0.019,0.0,0.001,0.0,0.014,0.192,0.005
p55061,0.852,0.01,0.018,0.0,0.001,0.0,0.009,0.109,0.001
p55063,0.519,0.003,0.002,0.001,0.0,0.0,0.001,0.471,0.002
p55065,0.556,0.011,0.004,0.001,0.0,0.0,0.003,0.42,0.004
p55067,0.811,0.004,0.006,0.001,0.0,0.0,0.003,0.174,0.001
p55069,0.784,0.003,0.004,0.001,0.0,0.0,0.002,0.205,0.001
p55071,0.832,0.013,0.018,0.0,0.001,0.0,0.009,0.125,0.002
p55073,0.74,0.004,0.005,0.001,0.0,0.0,0.002,0.247,0.001
p55075,0.84,0.005,0.01,0.0,0.001,0.0,0.004,0.139,0.001
p55077,0.701,0.009,0.007,0.001,0.0,0.0,0.004,0.276,0.002
p55078,0.812,0.005,0.008,0.0,0.0,0.0,0.004,0.169,0.001
p55079,0.767,0.026,0.02,0.0,0.001,0.0,0.013,0.17,0.004
p55081,0.578,0.004,0.003,0.001,0.0,0.0,0.002,0.41,0.002
p55083,0.836,0.006,0.01,0.0,0.001,0.0,0.005,0.141,0.001
p55085,0.772,0.003,0.004,0.001,0.0,0.0,0.002,0.218,0.001
p55087,0.794,0.008,0.01,0.0,0.0,0.0,0.005,0.18,0.001
p55089,0.791,0.021,0.019,0.0,0.001,0.0,0.012,0.153,0.003
p55091,0.532,0.002,0.001,0.002,0.0,0.0,0.001,0.462,0.001
p55093,0.526,0.002,0.001,0.002,0.0,0.0,0.001,0.468,0.001
p55095,0.523,0.001,0.001,0.002,0.0,0.0,0.0,0.472,0.001
p55097,0.723,0.006,0.006,0.001,0.0,0.0,0.003,0.26,0.001
p55099,0.724,0.002,0.003,0.001,0.0,0.0,0.001,0.269,0.001
p55101,0.744,0.029,0.018,0.0,0.001,0.0,0.013,0.19,0.005
p55103,0.573,0.007,0.003,0.001,0.0,0.0,0.002,0.411,0.003
p55105,0.646,0.018,0.008,0.001,0.0,0.0,0.006,0.317,0.005
p55107,0.671,0.002,0.002,0.001,0.0,0.0,0.001,0.323,0.001
p55109,0.535,0.001,0.001,0.002,0.0,0.0,0.001,0.459,0.001
p55111,0.628,0.008,0.005,0.001,0.0,0.0,0.003,0.352,0.003
p55113,0.638,0.001,0.002,0.001,0.0,0.0,0.001,0.357,0.0
p55115,0.796,0.006,0.008,0.0,0.0,0.0,0.004,0.185,0.001
p55117,0.814,0.016,0.018,0.0,0.001,0.0,0.01,0.138,0.002
p55119,0.722,0.003,0.003,0.001,0.0,0.0,0.001,0.269,0.001
p55121,0.552,0.003,0.002,0.001,0.0,0.0,0.001,0.44,0.001
p55123,0.543,0.005,0.003,0.001,0.0,0.0,0.002,0.444,0.002
p55125,0.725,0.002,0.003,0.001,0.0,0.0,0.001,0.267,0.0
p55127,0.685,0.022,0.011,0.001,0.0,0.0,0.008,0.267,0.005
p55129,0.567,0.001,0.001,0.001,0.0,0.0,0.001,0.428,0.0
p55131,0.765,0.017,0.014,0.0,0.0,0.0,0.009,0.191,0.003
p55133,0.731,0.02,0.013,0.0,0.0,0.0,0.009,0.222,0.004
p55135,0.763,0.007,0.008,0.001,0.0,0.0,0.004,0.216,0.001
p55137,0.724,0.008,0.007,0.001,0.0,0.0,0.004,0.255,0.002
p55139,0.769,0.01,0.01,0.001,0.0,0.0,0.005,0.204,0.002
p55141,0.677,0.005,0.004,0.001,0.0,0.0,0.002,0.31,0.001
p56001,0.001,0.0,0.0,0.694,0.0,0.002,0.0,0.29,0.013
p56003,0.0,0.0,0.0,0.864,0.0,0.012,0.0,0.122,0.001
p56005,0.001,0.0,0.0,0.675,0.0,0.003,0.0,0.32,0.002
p56007,0.0,0.0,0.0,0.805,0.0,0.004,0.0,0.179,0.011
p56009,0.001,0.0,0.0,0.672,0.0,0.002,0.0,0.32,0.005
p56011,0.002,0.0,0.0,0.561,0.0,0.002,0.0,0.434,0.001
p56013,0.0,0.0,0.0,0.897,0.0,0.012,0.0,0.087,0.003
p56015,0.001,0.0,0.0,0.533,0.0,0.001,0.0,0.456,0.009
p56017,0.0,0.0,0.0,0.888,0.0,0.013,0.0,0.097,0.002
p56019,0.001,0.0,0.0,0.775,0.0,0.005,0.0,0.217,0.002
p56021,0.001,0.0,0.0,0.572,0.0,0.001,0.0,0.409,0.017
p56023,0.0,0.0,0.0,0.932,0.0,0.035,0.0,0.031,0.003
p56025,0.001,0.0,0.0,0.795,0.0,0.004,0.0,0.195,0.005
p56027,0.001,0.0,0.0,0.55,0.0,0.001,0.0,0.443,0.004
p56029,0.0,0.0,0.0,0.913,0.0,0.028,0.0,0.058,0.001
p56031,0.001,0.0,0.0,0.609,0.0,0.001,0.0,0.379,0.009
p56033,0.001,0.0,0.0,0.795,0.0,0.007,0.0,0.196,0.001
p56035,0.0,0.0,0.0,0.927,0.0,0.024,0.0,0.046,0.003
p56037,0.0,0.0,0.0,0.907,0.0,0.013,0.0,0.073,0.007
p56039,0.0,0.0,0.0,0.925,0.0,0.039,0.0,0.035,0.001
p56041,0.0,0.0,0.0,0.934,0.0,0.03,0.0,0.031,0.005
p56043,0.0,0.0,0.0,0.851,0.0,0.009,0.0,0.137,0.002
p56045,0.002,0.0,0.0,0.561,0.0,0.001,0.0,0.434,0.002
