year,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
2010,0.842751545,1.00226026,0.325186127,0.753837325,1.124759684,0.464620219,0.903818762,0.9615964,0.646128211
2011,1.029315363,0.993852584,0.948574034,0.92911881,0.997092177,1.260038402,0.878639816,0.979178624,1.09878339
2012,1.098736509,1.015152938,0.888668107,0.893771306,0.951306917,1.207484105,0.872665037,0.999040303,1.027804096
2013,1.089873542,0.954416424,1.005850826,0.990761214,1.051593127,1.244841604,0.889840453,0.997020442,1.044188842
2014,1.099829651,0.91532961,1.047564237,1.145413308,1.494930294,1.145871679,0.98134629,0.908543727,0.9848482
2015,1.076297532,0.904467755,1.069097745,0.975755979,1.378082756,1.136386057,1.030747668,0.918335291,0.932623667
2016,1.084046342,0.947126649,1.066095954,1.010337163,1.550681117,1.054463841,1.00802092,1.004998075,0.902544061
2017,1.069687335,0.957445455,1.204772044,1.042844693,1.666217467,1.33289781,1.013335007,1.080952054,0.977063492
2018,1.011982842,0.914579721,1.160630105,1.059056067,1.353345855,1.384889771,1.010164969,0.971693486,0.910891571
2019,1.052541932,1.040202662,0.973897465,1.064687052,1.233205236,1.332662098,1.070632797,0.86186455,0.970540423
2020,1.025544245,1.052657591,1.177122117,1.0405885,1.166554728,1.281083016,1.019802502,1.022165048,1.018564093
2021,1.015252682,1.060575615,1.084279359,0.997869172,0.898476937,1.218746329,1.007089605,0.984712237,1.042306068
2022,1.163766655,1.2969202,1.34664366,1.096716962,0.820075191,1.404682441,1.314935894,1.010995521,1.088724502
2023,1.281639534,1.393741852,1.607265731,1.168061262,0.988049234,2.120198338,1.554569496,0.991907957,0.996461407
2024,1.00958038,1.118479476,1.613097924,1.392931131,1.010540938,2.090550822,1.025417389,0.85072313,0.91948095
2025,1.037035046,1.147902063,1.423207445,1.251301986,0.940693561,1.799704762,1.011559396,0.900053115,1.006548849
2026,1.037035046,1.147902063,1.423207445,1.251301986,0.940693561,1.799704762,1.011559396,0.900053115,1.006548849
2027,1.037035046,1.147902063,1.423207445,1.251301986,0.940693561,1.799704762,1.011559396,0.900053115,1.006548849
2028,1.037035046,1.147902063,1.423207445,1.251301986,0.940693561,1.799704762,1.011559396,0.900053115,1.006548849
2029,1.037035046,1.147902063,1.423207445,1.251301986,0.940693561,1.799704762,1.011559396,0.900053115,1.006548849
2030,1.037035046,1.147902063,1.423207445,1.251301986,0.940693561,1.799704762,1.011559396,0.900053115,1.006548849
2031,1.037035046,1.147902063,1.423207445,1.251301986,0.940693561,1.799704762,1.011559396,0.900053115,1.006548849
2032,1.037035046,1.147902063,1.423207445,1.251301986,0.940693561,1.799704762,1.011559396,0.900053115,1.006548849
2033,1.037035046,1.147902063,1.423207445,1.251301986,0.940693561,1.799704762,1.011559396,0.900053115,1.006548849
2034,1.037035046,1.147902063,1.423207445,1.251301986,0.940693561,1.799704762,1.011559396,0.900053115,1.006548849
2035,1.037035046,1.147902063,1.423207445,1.251301986,0.940693561,1.799704762,1.011559396,0.900053115,1.006548849
2036,1.037035046,1.147902063,1.423207445,1.251301986,0.940693561,1.799704762,1.011559396,0.900053115,1.006548849
2037,1.037035046,1.147902063,1.423207445,1.251301986,0.940693561,1.799704762,1.011559396,0.900053115,1.006548849
2038,1.037035046,1.147902063,1.423207445,1.251301986,0.940693561,1.799704762,1.011559396,0.900053115,1.006548849
2039,1.037035046,1.147902063,1.423207445,1.251301986,0.940693561,1.799704762,1.011559396,0.900053115,1.006548849
2040,1.037035046,1.147902063,1.423207445,1.251301986,0.940693561,1.799704762,1.011559396,0.900053115,1.006548849
2041,1.037035046,1.147902063,1.423207445,1.251301986,0.940693561,1.799704762,1.011559396,0.900053115,1.006548849
2042,1.037035046,1.147902063,1.423207445,1.251301986,0.940693561,1.799704762,1.011559396,0.900053115,1.006548849
2043,1.037035046,1.147902063,1.423207445,1.251301986,0.940693561,1.799704762,1.011559396,0.900053115,1.006548849
2044,1.037035046,1.147902063,1.423207445,1.251301986,0.940693561,1.799704762,1.011559396,0.900053115,1.006548849
2045,1.037035046,1.147902063,1.423207445,1.251301986,0.940693561,1.799704762,1.011559396,0.900053115,1.006548849
2046,1.037035046,1.147902063,1.423207445,1.251301986,0.940693561,1.799704762,1.011559396,0.900053115,1.006548849
2047,1.037035046,1.147902063,1.423207445,1.251301986,0.940693561,1.799704762,1.011559396,0.900053115,1.006548849
2048,1.037035046,1.147902063,1.423207445,1.251301986,0.940693561,1.799704762,1.011559396,0.900053115,1.006548849
2049,1.037035046,1.147902063,1.423207445,1.251301986,0.940693561,1.799704762,1.011559396,0.900053115,1.006548849
2050,1.037035046,1.147902063,1.423207445,1.251301986,0.940693561,1.799704762,1.011559396,0.900053115,1.006548849
