Material ,Country ,Metric Tons,Production/Production Capacity/Reserves,Supply Chain Point
Tin ,Peru,31000,Production ,Mine 
Tin ,Russia ,3000,Production ,Mine 
Tin ,Rwanda,3600,Production ,Mine 
Tin ,Vietnam ,6700,Production ,Mine 
Tin ,Other countries ,1800,Production ,Mine 
Tin ,Australia ,620000,Reserves ,
Tin ,Bolivia ,400000,Reserves ,
Tin ,Brazil ,420000,Reserves ,
Tin ,Burma ,700000,Reserves ,
Tin ,China ,1000000,Reserves ,
Tin ,Congo(Kinshasa),120000,Reserves ,
Tin ,Peru,130000,Reserves ,
Tin ,Russia ,460000,Reserves ,
Tin ,Vietnam ,23000,Reserves ,
Tin ,Other countries ,310000,Reserves ,
Titanium and Titanium Dioxide,United States ,243.6,Production,Sponge
Titanium and Titanium Dioxide,China,220000,Production,Sponge
Titanium and Titanium Dioxide,India ,300,Production,Sponge
Titanium and Titanium Dioxide,Japan ,55000,Production,Sponge
Titanium and Titanium Dioxide,Kazakhstan ,14000,Production,Sponge
Titanium and Titanium Dioxide,Russia ,20000,Production,Sponge
Titanium and Titanium Dioxide,Saudi Arabia ,15000,Production,Sponge
Titanium and Titanium Dioxide,United States ,500,Production Capacity,Sponge
Titanium and Titanium Dioxide,China,260000,Production Capacity,Sponge
Titanium and Titanium Dioxide,India ,500,Production Capacity,Sponge
Titanium and Titanium Dioxide,Japan ,65200,Production Capacity,Sponge
Titanium and Titanium Dioxide,Kazakhstan ,26000,Production Capacity,Sponge
Titanium and Titanium Dioxide,Russia ,46500,Production Capacity,Sponge
Titanium and Titanium Dioxide,Saudi Arabia ,15600,Production Capacity,Sponge
Titanium and Titanium Dioxide,United States ,1360000,Production Capacity,Pigment
Titanium and Titanium Dioxide,Australia ,260000,Production Capacity,Pigment
Titanium and Titanium Dioxide,Canada,108000,Production Capacity,Pigment
Titanium and Titanium Dioxide,China,5500000,Production Capacity,Pigment
Titanium and Titanium Dioxide,Germany ,339000,Production Capacity,Pigment
Titanium and Titanium Dioxide,India ,91000,Production Capacity,Pigment
Titanium and Titanium Dioxide,Japan ,322000,Production Capacity,Pigment
Titanium and Titanium Dioxide,Mexico ,350000,Production Capacity,Pigment
Titanium and Titanium Dioxide,Russia ,55000,Production Capacity,Pigment
Titanium and Titanium Dioxide,Saudi Arabia ,200000,Production Capacity,Pigment
Titanium and Titanium Dioxide,Ukraine,122000,Production Capacity,Pigment
Titanium and Titanium Dioxide,United Kingdom,315000,Production Capacity,Pigment
Titanium and Titanium Dioxide,Other countries ,820000,Production Capacity,Pigment
Titanium Mineral Concentrates,United States,100000,Production,Mine
Titanium Mineral Concentrates,Australia ,600000,Production,Mine
Titanium Mineral Concentrates,Canada,350000,Production,Mine
Titanium Mineral Concentrates,China,3300000,Production,Mine
Titanium Mineral Concentrates,India ,222000,Production,Mine
Titanium Mineral Concentrates,Madagascar,240000,Production,Mine
Titanium Mineral Concentrates,Mozambique,1908000,Production,Mine
Titanium Mineral Concentrates,Norway,360000,Production,Mine
Titanium Mineral Concentrates,Senegal,300000,Production,Mine
Titanium Mineral Concentrates,South Africa ,1400000,Production,Mine
Titanium Mineral Concentrates,Ukraine,130000,Production,Mine
Titanium Mineral Concentrates,Kenya,40000,Production,Mine
Titanium Mineral Concentrates,Sierra Leone,60000,Production,Mine
Titanium Mineral Concentrates,Other countries ,350000,Production,Mine
Titanium Mineral Concentrates,United States,2000000,Reserves,
Titanium Mineral Concentrates,Australia ,215000000,Reserves,
Titanium Mineral Concentrates,Canada,51000000,Reserves,
Titanium Mineral Concentrates,China,110000000,Reserves,
Titanium Mineral Concentrates,India ,15670000,Reserves,
Titanium Mineral Concentrates,Madagascar,30000000,Reserves,
Titanium Mineral Concentrates,Mozambique,720000,Reserves,
Titanium Mineral Concentrates,Norway,37000000,Reserves,
Titanium Mineral Concentrates,South Africa ,34100000,Reserves,
Titanium Mineral Concentrates,Ukraine,5900000,Reserves,
Titanium Mineral Concentrates,Sierra Leone,2900000,Reserves,
Titanium Mineral Concentrates,Other countries ,54540000,Reserves,
Tungsten,Australia ,1000,Production ,Mine 
Tungsten,Austria ,800,Production ,Mine 
Tungsten,Bolivia ,1600,Production ,Mine 
Tungsten,China ,67000,Production ,Mine 
Tungsten,North Korea ,1700,Production ,Mine 
Tungsten,Portugal ,500,Production ,Mine 
Tungsten,Russia ,2000,Production ,Mine 
Tungsten,Rwanda,1200,Production ,Mine 
Tungsten,Spain ,700,Production ,Mine 
Tungsten,Vietnam ,3400,Production ,Mine 
Tungsten,Other countries ,1500,Production ,Mine 
Tungsten,Australia ,570000,Reserves ,
Tungsten,Austria ,10000,Reserves ,
Tungsten,China ,2400000,Reserves ,
Tungsten,North Korea ,29000,Reserves ,
Tungsten,Portugal ,3400,Reserves ,
Tungsten,Russia ,400000,Reserves ,
Tungsten,Spain ,66000,Reserves ,
Tungsten,Vietnam ,140000,Reserves ,
Tungsten,Other countries ,950000,Reserves ,
Vanadium,Brazil ,5000,Production ,Mine 
Vanadium,China ,70000,Production ,Mine 
Vanadium,Russia ,21000,Production ,Mine 
Vanadium,South Africa ,8000,Production ,Mine 
Vanadium,United States ,45000,Reserves ,
Vanadium,Australia ,8500000,Reserves ,
Vanadium,Brazil ,120000,Reserves ,
Vanadium,China ,4100000,Reserves ,
Vanadium,Russia ,5000000,Reserves ,
Vanadium,South Africa ,430000,Reserves ,
Yttrium,China,7842,Production ,Mines - estimated
Yttrium,Myanmar,5427,Production,Mines - estimated
Yttrium,Australia ,3874.21,Production,Mines - estimated
Yttrium,United States ,692.49,Production,Mines - estimated
Yttrium,Madagascar,430.47,Production,Mines - estimated
Yttrium,Thailand,393.04,Production,Mines - estimated
Yttrium,Russia ,37.43,Production,Mines - estimated
Yttrium,Vietnam,18.72,Production,Mines - estimated
Yttrium,Malaysia,18.72,Production,Mines - estimated
Zinc,United States ,750000,Production,Mine
Zinc,Australia ,1100000,Production,Mine
Zinc,Bolivia,510000,Production,Mine
Zinc,China ,4000000,Production,Mine
Zinc,India ,860000,Production,Mine
Zinc,Kazakhstan ,370000,Production,Mine
Zinc,Mexico ,700000,Production,Mine
Zinc,Peru,1300000,Production,Mine
Zinc,Russia ,310000,Production,Mine
Zinc,South Africa ,120000,Production,Mine
Zinc,Sweden,240000,Production,Mine
Zinc,Other countries ,1700000,Production,Mine
Zinc,United States ,9200000,Reserves,
Zinc,Australia ,64000000,Reserves,
Zinc,China ,46000000,Reserves,
Zinc,India ,9800000,Reserves,
Zinc,Kazakhstan ,7600000,Reserves,
Zinc,Mexico ,14000000,Reserves,
Zinc,Peru,20000000,Reserves,
Zinc,Russia ,29000000,Reserves,
Zinc,South Africa ,5900000,Reserves,
Zinc,Sweden,3900000,Reserves,
Zinc,Other countries ,25000000,Reserves,
Zirconium ,United States ,100000,Production,Mine
Zirconium ,Australia ,500000,Production,Mine
Zirconium ,China ,100000,Production,Mine
Zirconium ,Indonesia,95000,Production,Mine
Zirconium ,Kenya,20000,Production,Mine
Zirconium ,Madagascar,30000,Production,Mine
Zirconium ,Mozambique,160000,Production,Mine
Zirconium ,Senegal,60000,Production,Mine
Zirconium ,Sierra Leone,20000,Production,Mine
Zirconium ,South Africa ,300000,Production,Mine
Zirconium ,Other countries ,110000,Production,Mine
Zirconium ,United States ,500000,Reserves,
Zirconium ,Australia ,55000000,Reserves,
Zirconium ,China ,72000,Reserves,
Zirconium ,Kenya,5000,Reserves,
Zirconium ,Madagascar,2100000,Reserves,
Zirconium ,Mozambique,1500000,Reserves,
Zirconium ,Senegal,2600000,Reserves,
Zirconium ,Sierra Leone,290000,Reserves,
Zirconium ,South Africa ,5300000,Reserves,
Zirconium ,Other countries ,5700000,Reserves,
