r,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p46045,0,0,0,0,0,0.002,0.005,0.003065514,0.003123631,0.003123631,0.003123631,0.003123631,0.003123631,0.003123631,0.003123631,0.003123631,0.003123631,0.003123631,0.003123631,0.003123631,0.003123631
p46049,0,0,0,0,0,0,0.002,0.001021838,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211
p46051,0,0,0,0,0,0.002,0.002,0.001021838,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211
p46053,0,0,0,0,0,0,0.002,0.001021838,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211
p46055,0,0,0,0,0,0,0,0,0.000530292,0.000530292,0.000530292,0.000530292,0.000530292,0.000530292,0.000530292,0.000530292,0.000530292,0.000530292,0.000530292,0.000530292,0.000530292
p46057,0,0,0,0,0,0.002,0.003,0.002043676,0.002612712,0.002612712,0.002612712,0.002612712,0.002612712,0.002612712,0.002612712,0.002612712,0.002612712,0.002612712,0.002612712,0.002612712,0.002612712
p46059,0,0,0,0,0.009,0.007,0.012,0.008174705,0.009390267,0.009390267,0.009390267,0.009390267,0.009390267,0.009390267,0.009390267,0.009390267,0.009390267,0.009390267,0.009390267,0.009390267,0.009390267
p46061,0,0,0,0,0,0,0.002,0.001021838,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211
p46063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p46065,0,0,0,0,0,0.002,0.005,0.003065514,0.003653923,0.003653923,0.003653923,0.003653923,0.003653923,0.003653923,0.003653923,0.003653923,0.003653923,0.003653923,0.003653923,0.003653923,0.003653923
p46067,0,0,0,0,0,0.002,0.003,0.002043676,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421
p46069,0,0,0,0,0,0.002,0.003,0.002043676,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421
p46071,0,0,0,0,0,0,0.002,0.001021838,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211
p46073,0,0,0,0,0,0,0.002,0.001021838,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211
p46075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p46077,0,0,0,0,0.009,0.012,0.022,0.015327572,0.017739322,0.017739322,0.017739322,0.017739322,0.017739322,0.017739322,0.017739322,0.017739322,0.017739322,0.017739322,0.017739322,0.017739322,0.017739322
p46079,0,0,0,0,0,0.002,0.005,0.003065514,0.003123631,0.003123631,0.003123631,0.003123631,0.003123631,0.003123631,0.003123631,0.003123631,0.003123631,0.003123631,0.003123631,0.003123631,0.003123631
p46083,0,0,0,0,0.045,0.051,0.084,0.056201097,0.063630071,0.063630071,0.063630071,0.063630071,0.063630071,0.063630071,0.063630071,0.063630071,0.063630071,0.063630071,0.063630071,0.063630071,0.063630071
p46085,0,0,0,0,0,0,0.002,0.001021838,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211
p46087,0,0,0,0,0,0.002,0.002,0.001021838,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211
p46089,0,0,0,0,0,0.002,0.003,0.002043676,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421
p46091,0,0,0,0,0,0,0.002,0.001021838,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211
p46093,0,0,0,0,0.062,0.08,0.141,0.101161975,0.11686741,0.11686741,0.11686741,0.11686741,0.11686741,0.11686741,0.11686741,0.11686741,0.11686741,0.11686741,0.11686741,0.11686741,0.11686741
p46095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p46097,0,0,0,0,0,0,0.002,0.001021838,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211
p46099,0,0,0,0,0.178,0.22,0.38,0.261590562,0.293594734,0.293594734,0.293594734,0.293594734,0.293594734,0.293594734,0.293594734,0.293594734,0.293594734,0.293594734,0.293594734,0.293594734,0.293594734
p46101,0,0,0,0,0,0.002,0.002,0.002043676,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421
p46102,0,0,0,0,0.009,0.005,0.008,0.005109191,0.005736344,0.005736344,0.005736344,0.005736344,0.005736344,0.005736344,0.005736344,0.005736344,0.005736344,0.005736344,0.005736344,0.005736344,0.005736344
p46105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p46107,0,0,0,0,0,0.002,0.005,0.004087353,0.004164842,0.004164842,0.004164842,0.004164842,0.004164842,0.004164842,0.004164842,0.004164842,0.004164842,0.004164842,0.004164842,0.004164842,0.004164842
p46109,0,0,0,0,0,0.002,0.003,0.002043676,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421
p46111,0,0,0,0,0,0,0.002,0.001021838,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211
p46115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p46117,0,0,0,0,0,0,0.002,0.001021838,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211
p46119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p46121,0,0,0,0,0,0,0.002,0.001021838,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211
p46123,0,0,0,0,0,0.002,0.002,0.001021838,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211
p46125,0,0,0,0,0,0.002,0.002,0.002043676,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421
p46127,0,0,0,0,0.009,0.007,0.013,0.008174705,0.008859975,0.008859975,0.008859975,0.008859975,0.008859975,0.008859975,0.008859975,0.008859975,0.008859975,0.008859975,0.008859975,0.008859975,0.008859975
p46129,0,0,0,0,0,0.002,0.003,0.003065514,0.003653923,0.003653923,0.003653923,0.003653923,0.003653923,0.003653923,0.003653923,0.003653923,0.003653923,0.003653923,0.003653923,0.003653923,0.003653923
p46135,0,0,0,0,0,0.002,0.003,0.002043676,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421
p46137,0,0,0,0,0,0,0.002,0.001021838,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211
p31005,0,0,0,0,0.001,0.002,0.008,0.010218381,0.010412105,0.010412105,0.010412105,0.010412105,0.010412105,0.010412105,0.010412105,0.010412105,0.010412105,0.010412105,0.010412105,0.010412105,0.010412105
p31007,0,0,0,0,0,0,0.001,0.001021838,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211,0.001041211
p31013,0,0,0,0.06,0.228,0.324,1.101,1.25992642,1.320402582,1.320402582,1.320402582,1.320402582,1.320402582,1.320402582,1.320402582,1.320402582,1.320402582,1.320402582,1.320402582,1.320402582,1.320402582
p31029,0,0,0,0.008,0.035,0.049,0.148,0.167581454,0.176061427,0.176061427,0.176061427,0.176061427,0.176061427,0.176061427,0.176061427,0.176061427,0.176061427,0.176061427,0.176061427,0.176061427,0.176061427
p31033,0,0,0,0.049,0.155,0.208,0.459,0.513984582,0.532213515,0.532213515,0.532213515,0.532213515,0.532213515,0.532213515,0.532213515,0.532213515,0.532213515,0.532213515,0.532213515,0.532213515,0.532213515
p31045,0,0,0,0.045,0.181,0.236,0.402,0.445521427,0.455028336,0.455028336,0.455028336,0.455028336,0.455028336,0.455028336,0.455028336,0.455028336,0.455028336,0.455028336,0.455028336,0.455028336,0.455028336
p31049,0,0,0,0,0.001,0.001,0.006,0.006131029,0.006777554,0.006777554,0.006777554,0.006777554,0.006777554,0.006777554,0.006777554,0.006777554,0.006777554,0.006777554,0.006777554,0.006777554,0.006777554
p31057,0,0,0,0,0.001,0.001,0.005,0.005109191,0.005736344,0.005736344,0.005736344,0.005736344,0.005736344,0.005736344,0.005736344,0.005736344,0.005736344,0.005736344,0.005736344,0.005736344,0.005736344
p31069,0,0,0,0.002,0.008,0.012,0.043,0.048026392,0.049997474,0.049997474,0.049997474,0.049997474,0.049997474,0.049997474,0.049997474,0.049997474,0.049997474,0.049997474,0.049997474,0.049997474,0.049997474
p31075,0,0,0,0,0.003,0.005,0.043,0.051091907,0.054711979,0.054711979,0.054711979,0.054711979,0.054711979,0.054711979,0.054711979,0.054711979,0.054711979,0.054711979,0.054711979,0.054711979,0.054711979
p31101,0,0,0,0.01,0.04,0.053,0.105,0.118533224,0.121310703,0.121310703,0.121310703,0.121310703,0.121310703,0.121310703,0.121310703,0.121310703,0.121310703,0.121310703,0.121310703,0.121310703,0.121310703
p31105,0,0,0,0.006,0.022,0.029,0.055,0.06028845,0.061961708,0.061961708,0.061961708,0.061961708,0.061961708,0.061961708,0.061961708,0.061961708,0.061961708,0.061961708,0.061961708,0.061961708,0.061961708
p31123,0,0,0,0.002,0.018,0.028,0.132,0.148166529,0.158399594,0.158399594,0.158399594,0.158399594,0.158399594,0.158399594,0.158399594,0.158399594,0.158399594,0.158399594,0.158399594,0.158399594,0.158399594
p31135,0,0,0,0.01,0.027,0.035,0.059,0.066419479,0.067678679,0.067678679,0.067678679,0.067678679,0.067678679,0.067678679,0.067678679,0.067678679,0.067678679,0.067678679,0.067678679,0.067678679,0.067678679
p31157,0,0,0,0.002,0.1,0.175,1.299,1.500058381,1.606980055,1.606980055,1.606980055,1.606980055,1.606980055,1.606980055,1.606980055,1.606980055,1.606980055,1.606980055,1.606980055,1.606980055,1.606980055
p31161,0,0,0,0.04,0.167,0.224,0.507,0.576316708,0.600499975,0.600499975,0.600499975,0.600499975,0.600499975,0.600499975,0.600499975,0.600499975,0.600499975,0.600499975,0.600499975,0.600499975,0.600499975
p31165,0,0,0,0,0.004,0.006,0.038,0.045982716,0.051096801,0.051096801,0.051096801,0.051096801,0.051096801,0.051096801,0.051096801,0.051096801,0.051096801,0.051096801,0.051096801,0.051096801,0.051096801
p31001,0,0,0,0.03,0.123,0.16,0.289,0.319835336,0.326959452,0.326959452,0.326959452,0.326959452,0.326959452,0.326959452,0.326959452,0.326959452,0.326959452,0.326959452,0.326959452,0.326959452,0.326959452
p31003,0,0,0,0,0.011,0.019,0.104,0.119555062,0.12871541,0.12871541,0.12871541,0.12871541,0.12871541,0.12871541,0.12871541,0.12871541,0.12871541,0.12871541,0.12871541,0.12871541,0.12871541
p31009,0,0,0,0,0.001,0.002,0.012,0.014305734,0.015637529,0.015637529,0.015637529,0.015637529,0.015637529,0.015637529,0.015637529,0.015637529,0.015637529,0.015637529,0.015637529,0.015637529,0.015637529
p31011,0,0,0,0.016,0.058,0.082,0.234,0.266699753,0.282892045,0.282892045,0.282892045,0.282892045,0.282892045,0.282892045,0.282892045,0.282892045,0.282892045,0.282892045,0.282892045,0.282892045,0.282892045
p31015,0,0,0,0.005,0.018,0.024,0.053,0.059266612,0.062511372,0.062511372,0.062511372,0.062511372,0.062511372,0.062511372,0.062511372,0.062511372,0.062511372,0.062511372,0.062511372,0.062511372,0.062511372
p31017,0,0,0,0.001,0.006,0.01,0.048,0.054157421,0.058365902,0.058365902,0.058365902,0.058365902,0.058365902,0.058365902,0.058365902,0.058365902,0.058365902,0.058365902,0.058365902,0.058365902,0.058365902
p31019,0,0,0,0.106,0.451,0.612,1.406,1.56647786,1.646553291,1.646553291,1.646553291,1.646553291,1.646553291,1.646553291,1.646553291,1.646553291,1.646553291,1.646553291,1.646553291,1.646553291,1.646553291
p31023,0,0,0,0,0.012,0.022,0.123,0.139991824,0.151130493,0.151130493,0.151130493,0.151130493,0.151130493,0.151130493,0.151130493,0.151130493,0.151130493,0.151130493,0.151130493,0.151130493,0.151130493
p31027,0,0,0,0.003,0.024,0.037,0.136,0.155319396,0.165688067,0.165688067,0.165688067,0.165688067,0.165688067,0.165688067,0.165688067,0.165688067,0.165688067,0.165688067,0.165688067,0.165688067,0.165688067
p31031,0,0,0,0.001,0.003,0.004,0.012,0.013283896,0.014066028,0.014066028,0.014066028,0.014066028,0.014066028,0.014066028,0.014066028,0.014066028,0.014066028,0.014066028,0.014066028,0.014066028,0.014066028
p31035,0,0,0,0.008,0.036,0.054,0.183,0.21356417,0.227158228,0.227158228,0.227158228,0.227158228,0.227158228,0.227158228,0.227158228,0.227158228,0.227158228,0.227158228,0.227158228,0.227158228,0.227158228
p31039,0,0,0,0,0.007,0.013,0.072,0.081747051,0.087008875,0.087008875,0.087008875,0.087008875,0.087008875,0.087008875,0.087008875,0.087008875,0.087008875,0.087008875,0.087008875,0.087008875,0.087008875
p31041,0,0,0,0.023,0.086,0.12,0.315,0.355599671,0.373477354,0.373477354,0.373477354,0.373477354,0.373477354,0.373477354,0.373477354,0.373477354,0.373477354,0.373477354,0.373477354,0.373477354,0.373477354
p31043,0,0,0,0,0.023,0.041,0.231,0.269765267,0.288136841,0.288136841,0.288136841,0.288136841,0.288136841,0.288136841,0.288136841,0.288136841,0.288136841,0.288136841,0.288136841,0.288136841,0.288136841
p31047,0,0,0,0.024,0.14,0.212,0.712,0.827688889,0.881561438,0.881561438,0.881561438,0.881561438,0.881561438,0.881561438,0.881561438,0.881561438,0.881561438,0.881561438,0.881561438,0.881561438,0.881561438
p31051,0,0,0,0,0.009,0.015,0.082,0.094009108,0.100033692,0.100033692,0.100033692,0.100033692,0.100033692,0.100033692,0.100033692,0.100033692,0.100033692,0.100033692,0.100033692,0.100033692,0.100033692
p31059,0,0,0,0,0.002,0.002,0.011,0.012262058,0.013024817,0.013024817,0.013024817,0.013024817,0.013024817,0.013024817,0.013024817,0.013024817,0.013024817,0.013024817,0.013024817,0.013024817,0.013024817
p31061,0,0,0,0,0.001,0.002,0.009,0.011240219,0.011453315,0.011453315,0.011453315,0.011453315,0.011453315,0.011453315,0.011453315,0.011453315,0.011453315,0.011453315,0.011453315,0.011453315,0.011453315
p31063,0,0,0,0.003,0.02,0.03,0.109,0.124664252,0.132330588,0.132330588,0.132330588,0.132330588,0.132330588,0.132330588,0.132330588,0.132330588,0.132330588,0.132330588,0.132330588,0.132330588,0.132330588
p31065,0,0,0,0.003,0.023,0.036,0.139,0.160428587,0.170894119,0.170894119,0.170894119,0.170894119,0.170894119,0.170894119,0.170894119,0.170894119,0.170894119,0.170894119,0.170894119,0.170894119,0.170894119
p31067,0,0,0,0,0.004,0.008,0.043,0.050070069,0.051549604,0.051549604,0.051549604,0.051549604,0.051549604,0.051549604,0.051549604,0.051549604,0.051549604,0.051549604,0.051549604,0.051549604,0.051549604
p31071,0,0,0,0,0.003,0.004,0.021,0.024524115,0.026049634,0.026049634,0.026049634,0.026049634,0.026049634,0.026049634,0.026049634,0.026049634,0.026049634,0.026049634,0.026049634,0.026049634,0.026049634
p31073,0,0,0,0,0.004,0.008,0.043,0.050070069,0.053670769,0.053670769,0.053670769,0.053670769,0.053670769,0.053670769,0.053670769,0.053670769,0.053670769,0.053670769,0.053670769,0.053670769,0.053670769
p31077,0,0,0,0,0.001,0.002,0.01,0.011240219,0.011983606,0.011983606,0.011983606,0.011983606,0.011983606,0.011983606,0.011983606,0.011983606,0.011983606,0.011983606,0.011983606,0.011983606,0.011983606
p31079,0,0,0,0.23,0.62,0.803,1.307,1.44590096,1.47437336,1.47437336,1.47437336,1.47437336,1.47437336,1.47437336,1.47437336,1.47437336,1.47437336,1.47437336,1.47437336,1.47437336,1.47437336
p31081,0,0,0,0.016,0.049,0.065,0.12,0.133860796,0.13692886,0.13692886,0.13692886,0.13692886,0.13692886,0.13692886,0.13692886,0.13692886,0.13692886,0.13692886,0.13692886,0.13692886,0.13692886
p31083,0,0,0,0.006,0.038,0.057,0.204,0.234000933,0.249573311,0.249573311,0.249573311,0.249573311,0.249573311,0.249573311,0.249573311,0.249573311,0.249573311,0.249573311,0.249573311,0.249573311,0.249573311
p31085,0,0,0,0,0,0.001,0.003,0.003065514,0.003123631,0.003123631,0.003123631,0.003123631,0.003123631,0.003123631,0.003123631,0.003123631,0.003123631,0.003123631,0.003123631,0.003123631,0.003123631
p31087,0,0,0,0.002,0.005,0.008,0.019,0.020436763,0.021354501,0.021354501,0.021354501,0.021354501,0.021354501,0.021354501,0.021354501,0.021354501,0.021354501,0.021354501,0.021354501,0.021354501,0.021354501
p31089,0,0,0,0.029,0.098,0.133,0.285,0.321879012,0.334875078,0.334875078,0.334875078,0.334875078,0.334875078,0.334875078,0.334875078,0.334875078,0.334875078,0.334875078,0.334875078,0.334875078,0.334875078
p31091,0,0,0,0,0.001,0.002,0.013,0.014305734,0.015637529,0.015637529,0.015637529,0.015637529,0.015637529,0.015637529,0.015637529,0.015637529,0.015637529,0.015637529,0.015637529,0.015637529,0.015637529
p31093,0,0,0,0,0.001,0.002,0.011,0.012262058,0.013024817,0.013024817,0.013024817,0.013024817,0.013024817,0.013024817,0.013024817,0.013024817,0.013024817,0.013024817,0.013024817,0.013024817,0.013024817
p31095,0,0,0,0,0.002,0.004,0.019,0.021458601,0.022395711,0.022395711,0.022395711,0.022395711,0.022395711,0.022395711,0.022395711,0.022395711,0.022395711,0.022395711,0.022395711,0.022395711,0.022395711
p31099,0,0,0,0.003,0.011,0.016,0.039,0.044960878,0.046873843,0.046873843,0.046873843,0.046873843,0.046873843,0.046873843,0.046873843,0.046873843,0.046873843,0.046873843,0.046873843,0.046873843,0.046873843
p31103,0,0,0,0,0.002,0.004,0.019,0.021458601,0.022926002,0.022926002,0.022926002,0.022926002,0.022926002,0.022926002,0.022926002,0.022926002,0.022926002,0.022926002,0.022926002,0.022926002,0.022926002
p31107,0,0,0,0.006,0.041,0.062,0.212,0.242175638,0.25631212,0.25631212,0.25631212,0.25631212,0.25631212,0.25631212,0.25631212,0.25631212,0.25631212,0.25631212,0.25631212,0.25631212,0.25631212
p31111,0,0,0,0.062,0.33,0.475,1.459,1.662530644,1.754502608,1.754502608,1.754502608,1.754502608,1.754502608,1.754502608,1.754502608,1.754502608,1.754502608,1.754502608,1.754502608,1.754502608,1.754502608
p31113,0,0,0,0.001,0.005,0.008,0.024,0.02758963,0.029173265,0.029173265,0.029173265,0.029173265,0.029173265,0.029173265,0.029173265,0.029173265,0.029173265,0.029173265,0.029173265,0.029173265,0.029173265
p31115,0,0,0,0,0.002,0.003,0.018,0.020436763,0.021884792,0.021884792,0.021884792,0.021884792,0.021884792,0.021884792,0.021884792,0.021884792,0.021884792,0.021884792,0.021884792,0.021884792,0.021884792
p31117,0,0,0,0,0.001,0.001,0.006,0.006131029,0.006777554,0.006777554,0.006777554,0.006777554,0.006777554,0.006777554,0.006777554,0.006777554,0.006777554,0.006777554,0.006777554,0.006777554,0.006777554
p31119,0,0,0,0.068,0.315,0.445,1.109,1.26503561,1.327199508,1.327199508,1.327199508,1.327199508,1.327199508,1.327199508,1.327199508,1.327199508,1.327199508,1.327199508,1.327199508,1.327199508,1.327199508
p31121,0,0,0,0.007,0.031,0.041,0.078,0.08787808,0.090604681,0.090604681,0.090604681,0.090604681,0.090604681,0.090604681,0.090604681,0.090604681,0.090604681,0.090604681,0.090604681,0.090604681,0.090604681
p31125,0,0,0,0.004,0.02,0.029,0.088,0.098096461,0.103668242,0.103668242,0.103668242,0.103668242,0.103668242,0.103668242,0.103668242,0.103668242,0.103668242,0.103668242,0.103668242,0.103668242,0.103668242
p31129,0,0,0,0.017,0.059,0.082,0.22,0.249328505,0.262009719,0.262009719,0.262009719,0.262009719,0.262009719,0.262009719,0.262009719,0.262009719,0.262009719,0.262009719,0.262009719,0.262009719,0.262009719
p31137,0,0,0,0,0.003,0.004,0.021,0.023502277,0.024478132,0.024478132,0.024478132,0.024478132,0.024478132,0.024478132,0.024478132,0.024478132,0.024478132,0.024478132,0.024478132,0.024478132,0.024478132
p31139,0,0,0,0.002,0.012,0.021,0.083,0.095030946,0.101074902,0.101074902,0.101074902,0.101074902,0.101074902,0.101074902,0.101074902,0.101074902,0.101074902,0.101074902,0.101074902,0.101074902,0.101074902
p31141,0,0,0,0.044,0.168,0.238,0.73,0.827688889,0.875197942,0.875197942,0.875197942,0.875197942,0.875197942,0.875197942,0.875197942,0.875197942,0.875197942,0.875197942,0.875197942,0.875197942,0.875197942
p31143,0,0,0,0.005,0.026,0.039,0.127,0.144079177,0.152643878,0.152643878,0.152643878,0.152643878,0.152643878,0.152643878,0.152643878,0.152643878,0.152643878,0.152643878,0.152643878,0.152643878,0.152643878
p31145,0,0,0,0.041,0.142,0.194,0.479,0.539530535,0.567789021,0.567789021,0.567789021,0.567789021,0.567789021,0.567789021,0.567789021,0.567789021,0.567789021,0.567789021,0.567789021,0.567789021,0.567789021
p31149,0,0,0,0.006,0.023,0.032,0.089,0.100140137,0.107871829,0.107871829,0.107871829,0.107871829,0.107871829,0.107871829,0.107871829,0.107871829,0.107871829,0.107871829,0.107871829,0.107871829,0.107871829
p31151,0,0,0,0,0.002,0.003,0.017,0.018393086,0.019272079,0.019272079,0.019272079,0.019272079,0.019272079,0.019272079,0.019272079,0.019272079,0.019272079,0.019272079,0.019272079,0.019272079,0.019272079
p31159,0,0,0,0,0.003,0.004,0.022,0.025545953,0.026560553,0.026560553,0.026560553,0.026560553,0.026560553,0.026560553,0.026560553,0.026560553,0.026560553,0.026560553,0.026560553,0.026560553,0.026560553
p31163,0,0,0,0.001,0.004,0.006,0.029,0.03269882,0.034909608,0.034909608,0.034909608,0.034909608,0.034909608,0.034909608,0.034909608,0.034909608,0.034909608,0.034909608,0.034909608,0.034909608,0.034909608
p31167,0,0,0,0,0.004,0.005,0.032,0.036786173,0.038544159,0.038544159,0.038544159,0.038544159,0.038544159,0.038544159,0.038544159,0.038544159,0.038544159,0.038544159,0.038544159,0.038544159,0.038544159
p31169,0,0,0,0,0.001,0.002,0.011,0.013283896,0.013535736,0.013535736,0.013535736,0.013535736,0.013535736,0.013535736,0.013535736,0.013535736,0.013535736,0.013535736,0.013535736,0.013535736,0.013535736
p31171,0,0,0,0.001,0.005,0.007,0.018,0.020436763,0.021354501,0.021354501,0.021354501,0.021354501,0.021354501,0.021354501,0.021354501,0.021354501,0.021354501,0.021354501,0.021354501,0.021354501,0.021354501
p31173,0,0,0,0.002,0.008,0.012,0.043,0.04904823,0.051038684,0.051038684,0.051038684,0.051038684,0.051038684,0.051038684,0.051038684,0.051038684,0.051038684,0.051038684,0.051038684,0.051038684,0.051038684
p31175,0,0,0,0.027,0.078,0.101,0.173,0.192105569,0.196808146,0.196808146,0.196808146,0.196808146,0.196808146,0.196808146,0.196808146,0.196808146,0.196808146,0.196808146,0.196808146,0.196808146,0.196808146
p31179,0,0,0,0,0.008,0.014,0.08,0.094009108,0.100033692,0.100033692,0.100033692,0.100033692,0.100033692,0.100033692,0.100033692,0.100033692,0.100033692,0.100033692,0.100033692,0.100033692,0.100033692
p31181,0,0,0,0.007,0.034,0.049,0.176,0.201302112,0.213603119,0.213603119,0.213603119,0.213603119,0.213603119,0.213603119,0.213603119,0.213603119,0.213603119,0.213603119,0.213603119,0.213603119,0.213603119
p31183,0,0,0,0,0.001,0.001,0.006,0.008174705,0.008329684,0.008329684,0.008329684,0.008329684,0.008329684,0.008329684,0.008329684,0.008329684,0.008329684,0.008329684,0.008329684,0.008329684,0.008329684
p31185,0,0,0,0.001,0.004,0.007,0.023,0.026567791,0.027601763,0.027601763,0.027601763,0.027601763,0.027601763,0.027601763,0.027601763,0.027601763,0.027601763,0.027601763,0.027601763,0.027601763,0.027601763
p31021,0,0,0,0,0.003,0.004,0.017,0.018393086,0.019272079,0.019272079,0.019272079,0.019272079,0.019272079,0.019272079,0.019272079,0.019272079,0.019272079,0.019272079,0.019272079,0.019272079,0.019272079
p31025,0,0,0,0.007,0.069,0.112,0.509,0.588578765,0.633145572,0.633145572,0.633145572,0.633145572,0.633145572,0.633145572,0.633145572,0.633145572,0.633145572,0.633145572,0.633145572,0.633145572,0.633145572
p31037,0,0,0,0,0.008,0.013,0.075,0.085834403,0.090643426,0.090643426,0.090643426,0.090643426,0.090643426,0.090643426,0.090643426,0.090643426,0.090643426,0.090643426,0.090643426,0.090643426,0.090643426
p31053,0,0,0,0.132,0.368,0.481,0.811,0.89819572,0.916814854,0.916814854,0.916814854,0.916814854,0.916814854,0.916814854,0.916814854,0.916814854,0.916814854,0.916814854,0.916814854,0.916814854,0.916814854
p31055,0,0,0,0.033,0.268,0.428,1.901,2.187755445,2.323093133,2.323093133,2.323093133,2.323093133,2.323093133,2.323093133,2.323093133,2.323093133,2.323093133,2.323093133,2.323093133,2.323093133,2.323093133
p31097,0,0,0,0.002,0.013,0.02,0.064,0.072550508,0.076577399,0.076577399,0.076577399,0.076577399,0.076577399,0.076577399,0.076577399,0.076577399,0.076577399,0.076577399,0.076577399,0.076577399,0.076577399
p31109,0,0,0,0.484,1.98,2.577,4.408,4.888473634,4.993877754,4.993877754,4.993877754,4.993877754,4.993877754,4.993877754,4.993877754,4.993877754,4.993877754,4.993877754,4.993877754,4.993877754,4.993877754
p31127,0,0,0,0.006,0.026,0.038,0.099,0.114445871,0.121918484,0.121918484,0.121918484,0.121918484,0.121918484,0.121918484,0.121918484,0.121918484,0.121918484,0.121918484,0.121918484,0.121918484,0.121918484
p31131,0,0,0,0.058,0.183,0.244,0.477,0.53646502,0.554589853,0.554589853,0.554589853,0.554589853,0.554589853,0.554589853,0.554589853,0.554589853,0.554589853,0.554589853,0.554589853,0.554589853,0.554589853
p31133,0,0,0,0,0.007,0.012,0.069,0.080725213,0.086497956,0.086497956,0.086497956,0.086497956,0.086497956,0.086497956,0.086497956,0.086497956,0.086497956,0.086497956,0.086497956,0.086497956,0.086497956
p31147,0,0,0,0.016,0.08,0.11,0.283,0.319835336,0.335974405,0.335974405,0.335974405,0.335974405,0.335974405,0.335974405,0.335974405,0.335974405,0.335974405,0.335974405,0.335974405,0.335974405,0.335974405
