r,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p53071,0.07,0.14,0.303,0.849,2.127,3.629,6.326,5.718206199,5.979867848,5.979867848,5.979867848,5.979867848,5.979867848,5.979867848,5.979867848,5.979867848,5.979867848,5.979867848,5.979867848,5.979867848,5.979867848
p53077,0.265,0.53,1.146,2.773,5.354,8.422,14.633,13.40958184,14.1156129,14.1156129,14.1156129,14.1156129,14.1156129,14.1156129,14.1156129,14.1156129,14.1156129,14.1156129,14.1156129,14.1156129,14.1156129
p53001,0.02,0.04,0.086,0.214,0.34,0.538,0.918,0.833819918,0.869778794,0.869778794,0.869778794,0.869778794,0.869778794,0.869778794,0.869778794,0.869778794,0.869778794,0.869778794,0.869778794,0.869778794,0.869778794
p53019,0.01275,0.0255,0.055,0.132,0.212,0.325,0.544,0.484351276,0.499366956,0.499366956,0.499366956,0.499366956,0.499366956,0.499366956,0.499366956,0.499366956,0.499366956,0.499366956,0.499366956,0.499366956,0.499366956
p53021,0.084,0.168,0.363,0.96,1.462,2.208,3.609,3.196309684,3.258497141,3.258497141,3.258497141,3.258497141,3.258497141,3.258497141,3.258497141,3.258497141,3.258497141,3.258497141,3.258497141,3.258497141,3.258497141
p53043,0.0155,0.031,0.067,0.156,0.243,0.373,0.635,0.562010974,0.573726327,0.573726327,0.573726327,0.573726327,0.573726327,0.573726327,0.573726327,0.573726327,0.573726327,0.573726327,0.573726327,0.573726327,0.573726327
p53047,0.05675,0.1135,0.245,0.565,0.869,1.318,2.243,1.985431495,2.023071892,2.023071892,2.023071892,2.023071892,2.023071892,2.023071892,2.023071892,2.023071892,2.023071892,2.023071892,2.023071892,2.023071892,2.023071892
p53051,0.0205,0.041,0.089,0.199,0.301,0.456,0.772,0.683609712,0.696569787,0.696569787,0.696569787,0.696569787,0.696569787,0.696569787,0.696569787,0.696569787,0.696569787,0.696569787,0.696569787,0.696569787,0.696569787
p53063,0.6755,1.351,2.921,6.66,10.864,16.977,28.541,25.67879231,26.5368224,26.5368224,26.5368224,26.5368224,26.5368224,26.5368224,26.5368224,26.5368224,26.5368224,26.5368224,26.5368224,26.5368224,26.5368224
p53065,0.0625,0.125,0.27,0.669,1.077,1.691,2.905,2.641451577,2.742436968,2.742436968,2.742436968,2.742436968,2.742436968,2.742436968,2.742436968,2.742436968,2.742436968,2.742436968,2.742436968,2.742436968,2.742436968
p53075,0.056,0.112,0.242,0.587,0.96,1.487,2.522,2.271546172,2.35491296,2.35491296,2.35491296,2.35491296,2.35491296,2.35491296,2.35491296,2.35491296,2.35491296,2.35491296,2.35491296,2.35491296,2.35491296
p53017,0.04175,0.0835,0.181,0.416,0.643,0.975,1.659,1.468381399,1.496219407,1.496219407,1.496219407,1.496219407,1.496219407,1.496219407,1.496219407,1.496219407,1.496219407,1.496219407,1.496219407,1.496219407,1.496219407
p53025,0.09225,0.1845,0.399,0.895,1.353,2.05,3.48,3.079820137,3.138208276,3.138208276,3.138208276,3.138208276,3.138208276,3.138208276,3.138208276,3.138208276,3.138208276,3.138208276,3.138208276,3.138208276,3.138208276
p41003,0.253,0.506,1.355,2.451,2.973,3.768,5.938,6.097308147,6.282901177,6.282901177,6.282901177,6.282901177,6.282901177,6.282901177,6.282901177,6.282901177,6.282901177,6.282901177,6.282901177,6.282901177,6.282901177
p41005,1.048,2.096,5.614,9.7,10.868,13.346,21.573,22.09929333,22.75476821,22.75476821,22.75476821,22.75476821,22.75476821,22.75476821,22.75476821,22.75476821,22.75476821,22.75476821,22.75476821,22.75476821,22.75476821
p41007,0.14575,0.2915,0.781,1.387,1.57,1.937,3.112,3.186091303,3.282553976,3.282553976,3.282553976,3.282553976,3.282553976,3.282553976,3.282553976,3.282553976,3.282553976,3.282553976,3.282553976,3.282553976,3.282553976
p41009,0.1245,0.249,0.667,1.15,1.282,1.569,2.552,2.605687242,2.672586246,2.672586246,2.672586246,2.672586246,2.672586246,2.672586246,2.672586246,2.672586246,2.672586246,2.672586246,2.672586246,2.672586246,2.672586246
p41013,0.08225,0.1645,0.441,1.201,2.577,3.088,5.334,5.413698435,5.629815283,5.629815283,5.629815283,5.629815283,5.629815283,5.629815283,5.629815283,5.629815283,5.629815283,5.629815283,5.629815283,5.629815283,5.629815283
p41017,0.71675,1.4335,3.84,9.194,12.632,16.837,26.893,27.58554227,28.88645458,28.88645458,28.88645458,28.88645458,28.88645458,28.88645458,28.88645458,28.88645458,28.88645458,28.88645458,28.88645458,28.88645458,28.88645458
p41021,0.00625,0.0125,0.033,0.058,0.065,0.078,0.129,0.130795281,0.133805228,0.133805228,0.133805228,0.133805228,0.133805228,0.133805228,0.133805228,0.133805228,0.133805228,0.133805228,0.133805228,0.133805228,0.133805228
p41023,0.025,0.05,0.134,0.232,0.26,0.313,0.506,0.511940905,0.522707015,0.522707015,0.522707015,0.522707015,0.522707015,0.522707015,0.522707015,0.522707015,0.522707015,0.522707015,0.522707015,0.522707015,0.522707015
p41027,0.05275,0.1055,0.283,0.498,0.548,0.659,1.054,1.064755336,1.085471574,1.085471574,1.085471574,1.085471574,1.085471574,1.085471574,1.085471574,1.085471574,1.085471574,1.085471574,1.085471574,1.085471574,1.085471574
p41031,0.0755,0.151,0.404,1.008,1.644,2.208,3.717,3.777735582,3.9113991,3.9113991,3.9113991,3.9113991,3.9113991,3.9113991,3.9113991,3.9113991,3.9113991,3.9113991,3.9113991,3.9113991,3.9113991
p41039,1.22775,2.4555,6.577,11.814,13.565,16.694,25.329,25.77177958,26.72225238,26.72225238,26.72225238,26.72225238,26.72225238,26.72225238,26.72225238,26.72225238,26.72225238,26.72225238,26.72225238,26.72225238,26.72225238
p41041,0.17675,0.3535,0.947,1.701,2.086,2.541,4.219,4.413318902,4.687362509,4.687362509,4.687362509,4.687362509,4.687362509,4.687362509,4.687362509,4.687362509,4.687362509,4.687362509,4.687362509,4.687362509,4.687362509
p41043,0.3815,0.763,2.044,3.546,4.322,5.376,8.632,8.844009052,9.392425594,9.392425594,9.392425594,9.392425594,9.392425594,9.392425594,9.392425594,9.392425594,9.392425594,9.392425594,9.392425594,9.392425594,9.392425594
p41047,0.9605,1.921,5.145,8.808,10.396,12.793,20.051,20.52872812,21.43972452,21.43972452,21.43972452,21.43972452,21.43972452,21.43972452,21.43972452,21.43972452,21.43972452,21.43972452,21.43972452,21.43972452,21.43972452
p41049,0.025,0.05,0.134,0.241,0.273,0.332,0.545,0.550770754,0.563333594,0.563333594,0.563333594,0.563333594,0.563333594,0.563333594,0.563333594,0.563333594,0.563333594,0.563333594,0.563333594,0.563333594,0.563333594
p41051,2.68325,5.3665,14.374,24.459,27.097,33.362,51.249,52.24045277,53.62113715,53.62113715,53.62113715,53.62113715,53.62113715,53.62113715,53.62113715,53.62113715,53.62113715,53.62113715,53.62113715,53.62113715,53.62113715
p41053,0.179,0.358,0.959,1.73,2.198,2.711,4.486,4.60031528,4.891161304,4.891161304,4.891161304,4.891161304,4.891161304,4.891161304,4.891161304,4.891161304,4.891161304,4.891161304,4.891161304,4.891161304,4.891161304
p41055,0.0055,0.011,0.029,0.055,0.083,0.103,0.175,0.181887188,0.205486531,0.205486531,0.205486531,0.205486531,0.205486531,0.205486531,0.205486531,0.205486531,0.205486531,0.205486531,0.205486531,0.205486531,0.205486531
p41057,0.168,0.336,0.9,2.825,3.887,5.142,6.832,7.107906062,7.383717349,7.383717349,7.383717349,7.383717349,7.383717349,7.383717349,7.383717349,7.383717349,7.383717349,7.383717349,7.383717349,7.383717349,7.383717349
p41059,0.1915,0.383,1.026,2.755,4.646,6.475,11.323,11.64384554,12.08890626,12.08890626,12.08890626,12.08890626,12.08890626,12.08890626,12.08890626,12.08890626,12.08890626,12.08890626,12.08890626,12.08890626,12.08890626
p41061,0.06825,0.1365,0.366,0.632,0.705,0.852,1.372,1.384590672,1.413491608,1.413491608,1.413491608,1.413491608,1.413491608,1.413491608,1.413491608,1.413491608,1.413491608,1.413491608,1.413491608,1.413491608,1.413491608
p41063,0.03175,0.0635,0.17,0.413,0.768,1.132,2.053,2.149947434,2.30153767,2.30153767,2.30153767,2.30153767,2.30153767,2.30153767,2.30153767,2.30153767,2.30153767,2.30153767,2.30153767,2.30153767,2.30153767
p41065,0.06575,0.1315,0.352,0.594,0.652,0.782,1.246,1.257882743,1.282790638,1.282790638,1.282790638,1.282790638,1.282790638,1.282790638,1.282790638,1.282790638,1.282790638,1.282790638,1.282790638,1.282790638,1.282790638
p41067,1.46275,2.9255,7.836,13.545,15.413,18.97,30.833,31.60136614,32.72228088,32.72228088,32.72228088,32.72228088,32.72228088,32.72228088,32.72228088,32.72228088,32.72228088,32.72228088,32.72228088,32.72228088,32.72228088
p41069,0.00475,0.0095,0.025,0.046,0.052,0.063,0.109,0.112402195,0.115593732,0.115593732,0.115593732,0.115593732,0.115593732,0.115593732,0.115593732,0.115593732,0.115593732,0.115593732,0.115593732,0.115593732,0.115593732
p41071,0.261,0.522,1.398,2.433,3.387,4.196,6.865,7.013896953,7.697310931,7.697310931,7.697310931,7.697310931,7.697310931,7.697310931,7.697310931,7.697310931,7.697310931,7.697310931,7.697310931,7.697310931,7.697310931
p41011,0.177,0.354,0.948,1.631,1.817,2.203,3.559,3.611175966,3.697137322,3.697137322,3.697137322,3.697137322,3.697137322,3.697137322,3.697137322,3.697137322,3.697137322,3.697137322,3.697137322,3.697137322,3.697137322
p41015,0.0795,0.159,0.426,0.746,0.835,1.014,1.612,1.627788148,1.660769402,1.660769402,1.660769402,1.660769402,1.660769402,1.660769402,1.660769402,1.660769402,1.660769402,1.660769402,1.660769402,1.660769402,1.660769402
p41019,0.392,0.784,2.1,3.668,4.452,5.511,8.781,9.028961754,9.937240487,9.937240487,9.937240487,9.937240487,9.937240487,9.937240487,9.937240487,9.937240487,9.937240487,9.937240487,9.937240487,9.937240487,9.937240487
