tech,year,lcoe_base
Gas-CC-CCS,2029,54.2190311
Gas-CC-CCS,2030,53.68735241
Gas-CC-CCS,2031,53.39415816
Gas-CC-CCS,2032,53.16571248
Gas-CC-CCS,2033,53.26516972
Gas-CC-CCS,2034,53.23111455
Gas-CC-CCS,2035,53.26325289
Gas-CC-CCS,2036,53.19771392
Gas-CC-CCS,2037,53.22851067
Gas-CC-CCS,2038,53.87789386
Gas-CC-CCS,2039,53.3730515
Gas-CC-CCS,2040,54.03576399
Gas-CC-CCS,2041,54.23288575
Gas-CC-CCS,2042,53.80873865
Gas-CC-CCS,2043,53.1492902
Gas-CC-CCS,2044,52.39546338
Gas-CC-CCS,2045,52.0323722
Gas-CC-CCS,2046,51.56274011
Gas-CC-CCS,2047,51.04766573
Gas-CC-CCS,2048,50.62783318
Gas-CC-CCS,2049,49.95880961
Gas-CC-CCS,2050,49.63970683
Geothermal,2022,71.28239096
Geothermal,2023,70.29220201
Geothermal,2024,69.37466178
Geothermal,2025,68.51928277
Geothermal,2026,67.71764996
Geothermal,2027,66.96291406
Geothermal,2028,66.2494298
Geothermal,2029,65.57249232
Geothermal,2030,64.92814157
Geothermal,2031,64.31301464
Geothermal,2032,63.72423278
Geothermal,2033,63.15931375
Geothermal,2034,62.61610301
Geothermal,2035,62.09271911
Geothermal,2036,61.85915435
Geothermal,2037,61.62675741
Geothermal,2038,61.39552247
Geothermal,2039,61.16544369
Geothermal,2040,60.93651531
Geothermal,2041,60.70873157
Geothermal,2042,60.48208675
Geothermal,2043,60.25657515
Geothermal,2044,60.03219112
Geothermal,2045,59.808929
Geothermal,2046,59.58678319
Geothermal,2047,59.36574811
Geothermal,2048,59.14581821
Geothermal,2049,58.92698796
Geothermal,2050,58.70925186
